#,Title,JPja,USen
1,"""0000""",エキスパンション・パス,Expansion Pass
21,"""0020""","退魔の剣 マスターソード
その真の輝きを解き放つためのチャレンジが 追加されました
マスターソードを手に入れたら 「コログの森」に行って
デクの樹サマに 話を聞いてみましょう","A challenge has been added. Complete it to awaken the true splendor of the
sword that seals the darkness, the Master Sword. Once you have obtained
the Master Sword, speak with the Great Deku Tree in Korok Forest."
22,"""0021""",第2弾 「英傑たちの詩」,Pack 2: The Champions' Ballad
23,"""0022""",古代の馬具,Ancient Horse Gear
24,"""0023""","どんなに遠く離れた馬でも呼び出せるようになる古代のくらと
馬が襲歩できる回数を増やせる古代の手綱が追加されました
「高原の馬宿」に それらのウワサが書かれた本が置かれているようです","The Ancient Saddle allows you to call a horse companion no matter the
distance between you two. The Ancient Bridle increases the number of
times you can spur your horse on. There is apparently a book containing
rumors about these items at Highland Stable."
25,"""0024""",第2弾 「英傑たちの詩」,Pack 2: The Champions' Ballad
26,"""0025""",お宝のウワサ,Treasure Rumors
27,"""0026""","ハイラルの近衛兵が着ていたという装備や ラヴィオの頭巾など
ゼルダシリーズの作品をモチーフにした装備が全部で9つ追加されました
「リバーサイド馬宿」や 「アデヤ村跡」に
それらについて書かれた本が置かれている とか…","Nine items have been added, including Royal Guard equipment, Ravio's Hood,
and other items honoring the legacy of The Legend of Zelda series. There are
apparently books containing rumors about these items at Riverside Stable
and Deya Village Ruins..."
28,"""0027""",第2弾 「英傑たちの詩」,Pack 2: The Champions' Ballad
29,"""0028""",英傑たちの詩,The Champions' Ballad
30,"""0029""","英傑たちにまつわる 新たなチャレンジが追加されました
神獣を解放する4つのメインチャレンジをクリアしていたら 
「回生の祠」に戻り シーカーストーンが置かれていた端末を調べてみましょう","A new challenge related to the Champions has been added.
Once you have completed the Main Quest to free all four
Divine Beasts, return to the Shrine of Resurrection and
inspect the terminal where you first found the Sheikah Slate."
31,"""0030""",ダウンロード済み 追加コンテンツ一覧,Downloaded DLC
32,"""0031""",ダウンロード済み 追加コンテンツ一覧,Downloaded DLC
33,"""0032""",追加コンテンツ,DLC
34,Pa_GuideB_00-T_Guide_00,戻る,Cancel
35,Pa_GuideY_00-T_Guide_00,スタッフクレジット,Staff Credits
36,Pa_TipsBefore_00-T_Msg_00,"剣の試練やマスターモードが追加されるほか、
マップにも新しい機能が登場します。","This pack will add the Trial of the Sword challenge, Master Mode,
and additional map functionality."
37,Pa_TipsBefore_00-T_Msg_01,"新しいダンジョンやオリジナルストーリーを
楽しめるチャレンジが追加されます。","This pack will add a new and original story segment, a new dungeon,
and additional challenges."
38,Pa_TipsBefore_00-T_SubTitle_00,第１弾 ２０１７年夏 配信,DLC Pack 1: Available Mid 2017
39,Pa_TipsBefore_00-T_SubTitle_01,第２弾 ２０１７年冬 配信,DLC Pack 2: Available Late 2017
40,Pa_TipsBefore_00-T_TextDLC1_00,"コンテンツ内容
・剣の試練
・マスターモード
・足跡モード
・ワープマーカー
・コログのお面
・宝探しで見つける装備品8点","Included Content:
・Trial of the Sword
・Master Mode
・Hero's Path Mode
・Travel Medallion
・Korok Mask
・8 clothing items hidden in treasure chests"
41,Pa_TipsBefore_00-T_TextDLC2_00,"～リンクも知らない4人の英傑の物語～
新しいダンジョンやオリジナルストーリーを
楽しめるチャレンジが追加されます","～The Untold Story of the Four Champions～
A challenge that includes an additional
dungeon and an original story."
42,Pa_TipsBefore_00-T_TextDLC_00,"エキスパンション・パスには
第1弾と第2弾の両方が含まれています",The Expansion Pass includes both DLC Pack 1 and DLC Pack 2.
43,Pa_TipsBefore_00-T_TextStateDLC1_00,配信中,Currently Available:
44,Pa_TipsBefore_00-T_TextStateDLC2_00,配信中,Currently Available:
45,T_BtnL_00,もどる,Back
46,T_BtnR_00,ニンテンドーeショップ,Nintendo eShop
47,T_Text_00,エキスパンション・パスには以下のコンテンツが含まれます。,The Expansion Pass includes the following downloadable content (DLC):
