#,Title,JPja,USen
1,"""0000""",何してるの？,What are you up to?
19,talk06,"ああ君か…

見ての通り私は例の古文書の謎を解くのに
大忙しなのだよ","Oh, it's you. Can whatever it is wait?
I'm VERY busy deciphering these ancient
texts."
20,talk10,"長年に及ぶ調査の成果が まもなく
世紀の大発見として人々を驚かせるのだ
手柄を横取りされたくないので
研究の内容は身内にさえ教えていないんだ
わかってくれるか？","Soon, my long years of research will be
revealed...and all the world will hail it as
the discovery of the century!
To prevent any undue attention, I haven't
even told my family about my work.
You understand, I'm sure."
21,talk11,"古文書というものは
古代人からの謎に満ちた挑戦状だ
いや歴史とロマンに魅入られた考古学者への
恋文と言い換えてもいい
何が言いたいか わかるか？
つまり第三者の出る幕ではないってことだよ","...


These ancient writings are like a gauntlet
laid before us from long-dead
civilizations!
Or, if you prefer, they are love letters
meant for the eyes of all archaeologists
seduced by history.
Do you see what I mean? Either way,
it's a private matter between me and my
relics. There's no room for laypersons."
22,talk12,"いま先生と言ったね？

カリーユさんではなくて
カリーユ先生と…
それも ごく自然にさりげなく
心の底から！","Did I...just hear you call me doctor?
As in, not merely Calip, but DOCTOR
Calip?
It rolled off your tongue so naturally.
It was downright salivary!"
23,talk13,"だから何なんだ君は…

私を呼ぶときは カリーユさんではなくて
カリーユ先生で…と話しておいたはずだが？
私は古文書の分析で忙しい
用があるなら後にしてくれないか？","Will you never cease pestering me?
And call me by my proper title: Dr. Calip.
The \""Dr.\"" is important.
Anyway, I'm busy deciphering these
ancient texts. Can whatever you need
wait until later?"
24,talk15,"聞き分けがいいじゃないか！
さすが私を先生と慕うだけはあるな
私は昼間は遺跡調査で
夜は古文書の解析で寝る間もない
私は使わないから
疲れてるなら そのベッドを使ってもいいぞ","Unusually sensible of you. But if you
have the wit to address me by my proper
title, perhaps I shouldn't be so surprised.
My work keeps me far too busy to sleep,
so you can rest in my bed over there if
you need."
25,talk16,"祠や遺跡の調査は昼間だけと決めている

なぜかって？

夜は魔物が多いからに決まってるじゃないか
これだから素人は…","I only do fieldwork at shrines and ruins
during the day. Why, you ask?Hmm, could it have something to do
with the hordes of monsters roaming at
night? What an ignoramus..."
26,talk17,"うむ…

よし！いいだろう！

ちょっとだけ教えてやるが
誰にも話すんじゃないぞ…
『呪われし石像闇の光が宿るとき その眼を貫け
 さすれば封印されし試練は解き放たれる』
これが今解読を試みている古文書だ

まあ素人の君に教えたところで
どうなるものでもないが満足だろう？
夜は古文書の解析で忙しいので
君の相手はできないが今の時間は魔物も多い
私は使わないから
よかったら そこのベッドで休んでいくといい","Hrm... This changes things...Very well then! I'm feeling charitable,
so I'll let a few things spill. This is just
between us, understand.
\""When a dark light resides in the cursed
statue's eyes, pierce its gaze to purge
the seal from the shrine.\""
I'm still in the process of deciphering
that one, so I don't suppose there's
any harm in sharing it with you.
But see here, there are far too many
dangers lurking at this time of night for
me to stand around discussing this.
If you want to rest in my bed, you may.
I tend to be far too engrossed in my
work to sleep..."
27,talk18,"はぁ…
何度も何度も… 
私は例の古文書の謎を解くのに
大忙しだと言っとるだろ
これだから素人は…","For goodness' sake, can you not take
even the broadest hint? I'm busy! These
ancient texts won't decipher themselves!
Times like these make me long to be
back in academia, where at least people
understood the value of solitude..."
28,talk20,"雨に濡れるだけならいいが
ハイラルの雷は金属の物に落ちてくるからな
こんな日は家に戻って
じっとしてるのが一番なんだ
君も雷には気を付けるんだぞ","I don't mind a little rain, but the lightning
in Hyrule is alarmingly attracted to
anything metallic.
No, on days like this, it's best to shut
oneself in and wait for the rain to clear.If you must go gallivanting across the
countryside, take care you don't get
struck, at least."
29,talk21,"調査は一旦打ち切りだ

この眼鏡は金属製なんだ
急いで帰らねば！","Today's research trip is on hold.
My glasses are unfortunately metallic,
so I must remain indoors at all costs!"
30,talk22,"暗くなると魔物が出てくるからな
急いで帰らんと","Monsters roam these parts after nightfall.
It's best to stay safely inside until dawn."
31,talk23,"調査は一旦打ち切りだ

この眼鏡は金属製だからな
この天気では命の危険もあるからな！","Today's research trip is on hold.
My glasses are unfortunately metallic...
In this weather, my life could be at risk!"
32,talk24,"祠や遺跡の調査は昼間だけと決めている

なぜかって？

夜は魔物が多いからに決まってるじゃないか
これだから素人は…","I only do fieldwork at shrines and ruins
during the day. Why, you ask?Hmm, could it have something to do
with the hordes of monsters roaming at
night? What an ignoramus..."
33,talk25,"そろそろ魔物が多くなる時間帯だ
私は小屋に戻らせてもらうよ
剣術の心得があれば恐れることもないんだが
私は考古学しかやってこなかったからね
","I try not to set foot outside my hut when
night falls and monsters begin to roam
this area.
Just because I'm a trained archaeologist
doesn't mean I have any skill with
a blade. Quite the opposite, in fact."
34,talk27,"うむ…

よし！いいだろう！

気分がいいので ちょっとだけ教えてやるが
誰にも話すんじゃないぞ…
『呪われし石像闇の光が宿るとき その眼を貫け
 さすれば封印されし試練は解き放たれる』
これが今解読を試みている古文書だ

まあ素人の君に教えたところで
どうなるものでもないが満足だろう？
昼間は祠の調査で夜は古文書の解析と
忙しい身なので これにて失礼！","Hrm... This changes things...Very well then! I'm feeling charitable,
so I'll let a few things spill. This is just
between us, understand.
\""When a dark light resides in the cursed
statue's eyes, pierce its gaze to purge
the seal from the shrine.\""
I'm still in the process of deciphering
that one, so I don't suppose there's
any harm in sharing it with you.
That's my life in a nutshell. Days filled
with researching shrines and nights
spent studying ancient texts.
That leaves no time to converse with
passing strangers, so farewell."
35,talk29,"早く帰らねば！

この眼鏡は金属製だからな
この天気では命の危険もあるからな！","I mustn't be outside right now!
My glasses are unfortunately metallic,
so I must remain indoors at all costs!"
36,talk30,"古文書の謎を解いたわけでもないのに…
いつの間に祠が現れたんだ…？
…うーむ

おそらくこれは
考古学で言うところの…
よくわかんないけど なんだかラッキー

…的な事象か","A shrine? Here? But I hadn't completed my
inquiry into the mystery of the ancient texts.Hrm... This must be what we in the archaeology
profession refer to as \""a stroke of luck.\"" Er, not
that I believe in any such thing..."
37,talk31,"謎が謎を呼ぶ… 
それこそが考古学というものなのだよ！
考古学の世界を揺るがす祠の謎を究明するため
私は明日もまた喜び勇んで祠に出かけよう！","Huh. The mystery deepens...My only response can be to redouble
my efforts—now that the shrine is
visible—to solve the mystery at last!"
38,talk32,"『呪われし石像闇の光が宿るとき その眼を貫け
 さすれば封印されし試練は解き放たれる』
…う～む","\""When a dark light resides in the cursed
statue's eyes, pierce its gaze to purge
the seal from the shrine.\""
The answer is here somewhere...but what is it?"
39,talk33,"なんだ君か…

まるで何かを成し遂げたような
すっきりとした顔をしてるな
今から祠の調査なので 
私はこれで失礼するよ","You again... You certainly look pleased
with yourself.But no matter. It's time I headed out for
some more shrine fieldwork. "
40,talk34,"いいだろう

素人とはいえ私を先生と呼ぶほど慕っている
君を邪険には扱えんからな
『呪われし石像闇の光が宿るとき その眼を貫け
 さすれば封印されし試練は解き放たれる』
これが今解読を試みている古文書だ

昼間は祠の調査で夜は古文書の解析と
忙しい身なので これにて失礼！","I'm feeling charitable, so I'll let a few
things spill. This is just between us,
understand.
\""When a dark light resides in the cursed
statue's eyes, pierce its gaze to purge
the seal from the shrine.\""
I'm still in the process of deciphering
that one, so I don't suppose there's
any harm in sharing it with you.
That's my life: days spent researching
shrines and nights filled with the study
of ancient texts. Back to work now..."
41,talk35,先生…,Doctor...
42,talk38,"…おそらく
あの辺だと思うんだがなぁ…
明るくなってきたし
そろそろ調査に出るとしようかな","It's close... It HAS to be...Hmm, dawn is starting to break. Time for another
day of field research."
