#,Title,JPja,USen
1,"""0000""",どうしたの？,What's wrong?
76,Npc_Kakariko008_02,"まだおるのか…こんな夜更けまで ばあさんをつけまわして…
もしやお前さん…
不良か？まあ不良でも なんでもいいわい
さっさと遠くに行ってくれんかの…
グズグズしてると
夜が明けてしまうでの…","So you're still here...There's only one reason to follow around
an old woman in the wee hours of the
night...
HELP! I'M BEING ROBBED!Or maybe you're just bored. Either way,
I'm sick of looking at your mug.

The sun will be up before I know it.
Must hurry..."
77,Npc_Kakariko008_03,"だ誰じゃ！まったく… こんなか弱い老人を
つけまわしよって！
もしや…年上好きか？年上好きはいいことじゃが…私は人妻
そこは踏み込んではならんぞ！","Who's there?!Hmph... Following a weak, old woman
around like some kind of creepy
delinquent!
Are you into older women or something?Well, there's nothing wrong with that...
but I'm married to a fightin' man, I'll have
you know!"
78,Npc_Kakariko008_04,おや私に何か用かね？,What is it you want?
79,Npc_Kakariko008_05,グホッ！,Grah!
80,Npc_Kakariko008_06,"夜じゃと！まさか見られた…
いや…""アレは誰にも知られてないはずじゃ
な…何のことかの…
夜はグッスリ眠るだけじゃわい","At night?So he knows...
I didn't think anyone had seen me.

Nighttime, huh? WelI, I sleep at night.
In my house. On a bed. That's about it."
81,Npc_Kakariko008_07,"ほっほ…急に話しかけられたもんで
ビックリしましたわい
まさかコヤツ…私の秘密を…
いや…""アレは誰にも知られてないはずじゃ","Heh... You sure gave me a fright talking
to me out of the blue.

Could it be...he knows?
No... Nobody knows about that."
82,Npc_Kakariko008_08,まさか…見られてしまうとはのぅ…,Heh... You caught me orange-handed.
83,Npc_Kakariko008_09,"インパ様のお屋敷に飾られとる
アレかのぅ？","You mean that garish thing in Impa's
house?"
84,Npc_Kakariko008_10,ゴホッ ゴホッ！！,*cough cough*
85,Npc_Kakariko008_11,"まさか…見られてしまうとはのぅ…この甘い香りの中に隠れる苦味…
決して主張はせぬが存在感のある朱色…","You caught me...I simply can't get enough of the
bittersweet and nutty flavor that lies
beneath its fiery exterior."
86,Npc_Kakariko008_12,ゴホッ ゴホッ！！,*cough cough*
87,Npc_Kakariko008_13,"ここでのことは
じいさんに内緒で頼んだよ","I'm counting on you not to tell my old
man about this."
88,Npc_Kakariko008_14,"実は私は大のニンジン好きなんじゃ…
だが ウチのじいさんは大嫌いでのぅ…
だからこうやって時々こっそり
ニンジンを食べとるんじゃよ…
じいさんには内緒にしといとくれよ","Yes, I'm a big fan of carrots. But my
old man hates them.

So sometimes I sneak out at night to
get my fill.

Please don't tell my husband!"
89,Npc_Kakariko008_15,"これ以上の食材は ないというのに…でも あの二人を見ていたら
ニンジンが好きなど口が裂けても言えんわい…","There is no greater food.But seeing how those two are acting, I'm
not about to admit to having a love affair
with carrots."
90,Npc_Kakariko008_16,"年寄りに対して なんちゅーことを…
ビックリして ニンジンが詰まるかと思ったわい
私の大切な梅園は そもそもインパ様が
贈って下さったもの あれは宝じゃ！
インパ様には返す恩はあっても
仇はないわい！
ったく最近の若いもんは…","Is that any way to talk to an old woman?
I almost choked on my carrot!

Impa GAVE me the plum-tree orchard!
And yes, the orchard may be an heirloom
of this village, but it's technically mine!
You young people..."
91,Npc_Kakariko008_17,"まだ そんなことを言っとるのか！
まったく…年寄りに対してなんちゅーことを…
ビックリして ニンジンが詰まるかと思ったわい私の大切な梅園は そもそもインパ様が
贈って下さったもの あれは宝じゃ！
インパ様には返す恩はあっても
仇はないわい！
ったく最近の若いもんは…","What's with these accusations?
Is that any way to talk to an old woman?
I almost choked on my carrot!
Impa GAVE me the plum-tree orchard!
And yes, the orchard may be an heirloom
of this village, but it's technically mine!
You young people..."
92,Npc_Kakariko008_18,"ニンジンのこと…内緒にしてくれるんじゃろうな…
信じておるからな！","You won't tell anyone about...the carrots...right?
I'm trusting you!"
93,Npc_Kakariko008_19,"よ夜じゃと？！だ… だから
ニンジンのことは内緒だと言ったじゃろ！",At night?Remember to keep the carrot thing a secret!
94,Npc_Kakariko012_S1_001,"毎日元気に営業中！
呉服屋忍杏亭はこちらです！","We're open every day!
Prepare to be...Enchanted!"
95,Npc_Kakariko012_S1_002,ちょッ？！だ だれ？,Who's there?
96,Npc_Kakariko012_S1_003,"もしかして…""ストーカー？ラ… ラズリ なにも悪いことしてないんだからね
普通に お散歩してるだけなんだからね！
ほんっと… ついてこないでよね！","Is someone... Is someone stalking me right now?!If you're following me, Jarod...
I told you it's over between us!

So stop following me!"
97,Npc_Kakariko012_S1_003_1,のわっ！,AHHHH!
98,Npc_Kakariko012_S1_003_2,"あーあ… さすがにもう隠しきれないかな…クラリにも内緒だったのに…ここはね…昔好きだった彼が
眠ってる場所なんだ
もう ずいぶん前の話だけどね…時々 こうやって会いにきてるんだ…","I guess I can't keep it a secret any
longer.Not even Claree knows...This is...where the love of my life sleeps.
No other guy has been able to stack up.He passed a long time ago, but I come
here every now and then to be with him."
99,Npc_Kakariko012_S1_003_3,ホウジュ？ああ インパ様のお屋敷に飾られてる アレ？,Heirloom?You mean that thing in Impa's house?
100,Npc_Kakariko012_S1_003_4,サイテー…,How awful of you...
101,Npc_Kakariko012_S1_003_5,"はぁ？なんで私があんなのを
盗まないといけないのよ！
まさか…それで私を疑って
ついてきたの…？","What?!Why would I steal something like that?


Are you... Are you following me because
you think I'm a suspect?!"
102,Npc_Kakariko012_S1_003_6,"ここは…昔好きだった彼が眠っている場所…魔物に襲われちゃって あっさり…ずっと…""守ってくれるって…""約束したのに…","This is...where the love of my life sleeps.He got attacked by a monster and...He promised...he would always...
protect me..."
103,Npc_Kakariko012_S1_003_7,"はっ？
まだそんな事言ってるわけ？
ちょっとは空気読みなさいよ！
目の前で可愛い女子が泣いてんでしょうが！！！
宝珠なんて興味ないし！そもそもドゥランさん達がいるのに
どうやって盗めっていうのよ！
か弱い女子に そんなこと
できるわけないでしょ！","Are you kidding me?


I'm pouring my heart out, and you're
going on about that stupid heirloom?!Besides, how could I steal it when
Dorian and the others are guarding
it all the time?
There's no way I could do that without
them noticing!"
104,Npc_Kakariko012_S1_003_8,"はっ？アンタ！ ちょっとは空気読みなさいよ！
目の前で可愛い女子が泣いてんでしょうが！！！
優しい言葉とかないわけ？別にアンタなんかに
優しくされなくても いいけどさ！","Thanks, I guess.But next time, try to be a little more
sensitive to people you don't know.Everyone has their own issues to deal
with."
105,Npc_Kakariko012_S1_Near001,そろそろカナ…,Any minute now...
106,Npc_Kakariko012_S1_Near002,バレてない… よね,Nobody knows...
107,Npc_Kakariko012_S1_Near003,誰も気づいてないよね,I wonder if anyone knows.
108,Npc_Kakariko012_S1_Near004,ふぅ…,Phew...
109,Npc_Kakariko016_001,"まったくもう！
なんなのよ！！
お店に戻るだけなんだから
ついてこないでよ！","WHAT?!
What do you want?

I'm just on my way to the shop!
Stop following me!"
110,Npc_Kakariko016_002,"まったくもう！
なんなのよ！！！
あ…やっぱり ストーカー？ラズリに変なことしたら
ドゥランさん達に言いつけるからね！","WHAT?!
What do you want?

Are you...Are you some kind of stalker?!Get out of here before I call for Dorian!"
111,Npc_Kakariko016_100,"な… なになに？

こんな時間に女子に声かけるなんて

もしかしてこれがストーカーってやつ…？
アソコ行くのは後にしようかな…
よ…夜の一人歩きは危険だし…
やっぱり店にもどろうかな…","What?!


Why are you even talking to me at this
hour?

Is this guy some kind of stalker? He's a stalker!
I'm being stalked! So this is what it's like...
I guess I'll have to visit him later.
It... It sure is dangerous to be out alone
at night, huh? Maybe I'll just...head back
to the shop."
112,Npc_Kakariko016_101,"ごめん今あんまりしゃべる気分じゃないんだ…
ちょっと ソっとしといてもらえる？",I need to be alone for a while...
113,Talk00,"…リンク殿私共が ついておりながら…
大変なことになってしまいました…
まさかこの屋敷に
賊が侵入するなど…","Link.We were standing guard the whole time,
and yet this awful thing still happened.

How could we have let someone sneak
right past us?"
114,Talk01,"屋敷に何者かが侵入し
パーヤ様の大切な物を…","Someone snuck in and stole Lady Paya's
most prized possession..."
115,Talk02,"昨日 この屋敷に出入りした者は…服屋のラズリと
梅園のメロばあさんぐらいですかね
他には怪しい者は見ておりません","The only people who came by yesterday
were...Lasli from the clothing shop and
Grandma Mellie from the plum garden.
That's about it.
I didn't see anyone else."
116,Talk03,"まだ盗人は近くにいるかもしれません
リンク殿もお気を付け下さい","The thief may still be nearby.


Please take care of yourself, Master Link."
117,Talk04,"おのれ～盗人め！毎日ドゥランと見張っておるというのに
一体どうやって…
村人以外 この屋敷に近づく事さえできぬはず…","That filthy thief!Me and Dorian were standing guard the
entire time! How did they get past us?!

The only people we let through were
known villagers..."
118,Talk05,"まったく こんな大変な時だっていうのに
ドゥランは どこに行ってるんだか…
もしかしたら
高台の辺りまで見回りに行ってくれてるのかな","Why isn't Dorian back yet?


He said he was going to the area above
the village, but he should've been back
by now."
119,Talk06,"ええ村人なら誰でも出入りできますので…先日屋敷に訪れたのは…
ラズリちゃんとメロさんだけですよ
いつもは昼間に来るんですが
そういえば最近夜に来ることが多いなぁ…
まあ二人とも昼間は忙しいでしょうから
夜に のんびりしたいんでしょうな","Yes, known villagers are free to come and
go as they please.I think the only people that stopped by
around the time the heirloom went
missing were Lasli and Mellie.
They used to come around noonish,
but lately they've been stopping by
at night.
They must be too busy to stop by
during the day."
120,Talk07,"しばらくは我らも厳戒態勢
夜もドゥランと二人で見張っておりますので
村は安全ではありますが
リンク殿も夜は気を抜かれませぬよう…","We're on high alert for the time being.
Dorian and I will be on guard around
the clock.
The village should be safe, but please do
be careful at night, Master Link..."
121,Talk08,"あのさー…

いきなり夜の事聞くなんて
レディーに失礼じゃない？
そんなの教えるわけないでしょ！","Excuse me?


It's none of your business what I do at
night!

Maybe think about finding a new pick-up
line."
122,Talk09,"用もないのに話しかけるなんて……お兄さん もしかしてラズリを…好きになっちゃった？やだっ お兄さん好みだけど…
ラズリは みんなのラズリなんだ！ ごめんね～","So you thought you'd just chat me up
out of the blue?Are you...Are you hitting on me?Look, you're a good-looking guy and all,
but I just got out of a toxic relationship.
Sorry!"
123,Talk10,"リンク殿のお姿をみれば
パーヤ様も少しは落ち着かれることでしょう…","I'm sure Lady Paya would feel a little
more at ease if she saw Master Link's
face."
