#,Title,JPja,USen
1,"""0002""",情報？,What info?
54,Npc_SmallOasis006_R_106,"ここに来てから
もう一週間近く…
コッソリ入ろうとして
警備兵に追い出されたこと数知れず…
吾輩何度心が折れそうになったことか…

しかしだ！！

その厳重な警備をかいくぐって
街に潜入した男がいるらしいのだ！","It's been close to a week now...
The guards have kicked me out more
times than I can count...
I almost gave up hope...


HOWEVER!!


I have learned only recently of a man 
that slipped into this well-guarded town!"
55,Npc_SmallOasis006_R_107,"ふふふ… では話してあげよう！
吾輩の武勇伝を！","Heheheh... Well, allow me to share
with you...my heroic tale!"
56,Npc_SmallOasis006_R_108,"おいおい！
待て待て！！
人をのぞき魔呼ばわりしといて
それはないだろ！！
吾輩はゲルドの街に潜入するため
毎日調査に はげんでいたのだ！
そして とうとう
ある情報をつかんだのだ！""","Hey! Hold on, hold on! You can't just run
off like that!

I've worked really hard to get info on
getting into Gerudo Town, and I have to
share the fruits of my labors! I gotta!"
57,Npc_SmallOasis006_R_109,"青年もゲルドの街に潜入する方法を
探してたんじゃないのか？
それ以外に男がここにいる意味なんて
ないと思っていたが…","Hang on! You must have needed
something! Maybe you were looking
for a way to sneak into Gerudo Town?
I can't think of a single other reason for
a man to be here..."
58,Npc_SmallOasis006_S1_001,"なんでも
ゲルドの街に潜入したその男は
この街とカラカラバザールを
行き来しているらしい
吾輩は その男をここで待ち
潜入方法を聞き出すという
画期的 かつ効率的な作戦を
遂行しているところなのだ！","I hear the man who infiltrated
Gerudo Town is frequently traveling
between Kara Kara Bazaar and here.
So I'm waiting for him. I plan on asking
him how he pulls off his amazing
infiltration. My plan is flawless!"
59,Npc_SmallOasis008_F_008,"あの砂嵐を纏った巨大な化物…
確か…神獣っていったかしら…
しばらく前からゲルド砂漠のあちこちを
徘徊するようになったそうだけど…
一体何物なのかしら？

ゲルドの街の族長が アレを鎮めるために
頭を悩ませてるって聞いたけど
確かに あんなのが街に来たんじゃ
ひとたまりもないわよね","That giant monster cloaked in the
sandstorm... If I recall correctly, it's
called a Divine Beast...
I hear it started wandering the
Gerudo Desert several weeks ago. 
I wonder what it is exactly...
Apparently the chief of Gerudo Town is
having a lot of trouble figuring out how
to handle the situation.
One thing's for sure—they'd be helpless
if the Divine Beast headed for town."
60,Npc_SmallOasis008_F_009,"あんなのが街に来ちゃったら
ひとたまりもないわよね…
ゲルドの街の族長が アレを鎮めるために
頑張ってるって聞いたけど…
ナントカするって言ってもねぇ…","They'd be completely helpless if that
beast headed straight for town—that's
for sure.
I heard the chief of Gerudo Town is
trying her best to come up with a way to
deal with it, but..."
61,Npc_SmallOasis008_F_010,"それにしても よく似合ってるわね！
それならこの辺りじゃ誰が見たってイイ女よ♪","That being said... You look adorable!
With those clothes, anyone around here
might think you're a nice girl!"
62,Npc_SmallOasis008_F_011,"… ところでアナタ

ワタシが渡した
淑女の服はどうしたの？","By the way...what happened to the
Gerudo outfit I gave to you?"
63,Npc_SmallOasis008_F_012,"ボウヤ… ゲルドの街に入りたいんでしょ？

そんな恰好してちゃ
すぐに追い出されちゃうわよ
とっても似合ってるんだから
恥ずかしがらずに… ね","My dear boy... You really do want to get
inside Gerudo Town, don't you?

They'll spot you in a heartbeat if you
don't dress yourself up.

Those traditional clothes really do look
good on you. Don't be so shy about
wearing them, OK?"
64,Npc_SmallOasis008_S1_001,"あら…可愛らしい坊やだこと
ワタシに何か ご用かしら？","Oh, my. What a lovely young lad you are.
Do you need something from me?"
65,Npc_SmallOasis008_S1_002,"まぁ嬉しいこと言ってくれるのね！
この衣装も とても素敵でしょう？
…でもね アナタもこういう衣装を着たら
結構イケる口だと思うのよ
ちょっと値は張るけど
きっと世界が変わって見えるわよ…
…どうかしら？
600ルピーで買ってみない？","Oh, such a nice thing to say! And I'm
sure you'd agree that these clothes only
help my looks, right?
Now that I think about it, this style
would look quite fetching on you...

I'd have to charge you, of course, but I
bet people would see you completely
differently if you wore them!
What do you think? Do you want to
buy them for...600 rupees?"
66,Npc_SmallOasis008_S1_003,"あら… アナタまだゲルドの街に潜入した
男性商人のこと諦めてないの？
知らないって言ってるのに
アナタも懲りないわねぇ","Well, well... You still haven't given up on
your search for the man who snuck into
Gerudo Town?
I told you I didn't know anything.
Do you always doubt someone's word?"
67,Npc_SmallOasis008_S1_004,"…え？ゲルドの街に潜入した
男性の商人を知らないか ですって？
さあ知らないわ…
お役に立てなくて ごめんなさいね","What's that? You've heard about a man
who snuck into Gerudo Town?

Oh, I don't know anything about him...
Sorry I couldn't be more help."
68,Npc_SmallOasis008_S1_007,"ウフフ… そんな風に見つめられたら
恥ずかしいじゃない…","Heehee... You're making my cheeks warm
looking at me like that."
69,Npc_SmallOasis008_S1_008,"ふぅん…坊やって おかしなこと言うのね
さぁ用がないなら帰って頂戴","Oh, my! You sure say the funniest things,
young man. Anyway, if you don't need
anything, you should be off, then."
70,Npc_SmallOasis008_S1_009,"イヤ～～～～ン♪

可愛いじゃない～～～～！！","♪Eeeeeeeee!♪


You look adorable!!"
71,Npc_SmallOasis008_S1_011,"ウフフ…思ってた通りだわ
イイ女になったじゃない
この辺りだったら その服を着てたら
誰もアナタが男だなんて思わないはずよ！
それに その服はゲルドの民族衣装だけあって
とっても涼しいの！！
砂漠の暑さも
その服があれば ある程度しのげるわよ！","Ahhh heeheehee... Just as I thought! You
make for quite a good-lookin' gal. That's
a traditional Gerudo outfit.
It's such a striking look around here, I
doubt anyone would even suspect that
you're a man!
On top of that, it breathes so well that
it's sure to help you deal with the
desert heat... At least a little!"
72,Npc_SmallOasis008_S1_012,"…

ウフフ…風には十分気をつけてね","...


Heh... Make sure you watch out for
the wind."
73,Npc_SmallOasis008_S1_014,"本当にいいもの見せてもらったわ
どうもありがとう またいらっしゃい",I'm so glad I was able to help you out.
74,Npc_SmallOasis008_S1_015,"取引き成立ね！
それじゃ お代をいただくわよ","It's a deal, then! I'll take your
rupees now."
75,Npc_SmallOasis008_S1_016,"ウフフ… アナタにピッタリの服を選んだわ
さぁ今すぐこれを着てみてちょうだい
大丈夫後ろ向いててあげるから…","Heehee... I have the perfect outfit
for you! Go ahead and change into it
right now. Don't worry. I'll look away..."
76,Npc_SmallOasis008_S1_017,"あら…ルピーが足りないみたいね…
地獄の沙汰も金次第っていうし…
余計なお世話かもしれないけど普段から
もう少し貯めておいた方がいいんじゃない？","Oh, dear... You don't appear to have
enough rupees...

Money talks, as they say. You should
really make it a habit to have a nice little
nest egg with you."
77,Npc_SmallOasis008_S1_018,"あら残念だわ…
気が変わったら教えてちょうだいね","Oh, dear. That's too bad. Let me know
if you change your mind."
78,Npc_SmallOasis008_S1_019,"ボーイフレンドになってくれるなら
いつでも歓迎するわよ","If you're free to grab something to eat
sometime, keep me in mind..."
79,Npc_SmallOasis008_S1_020,イヤ～～～ン！！,Hrrrrrrrnnngh!
80,Npc_SmallOasis008_S1_021,"また女装したくなったら
いらっしゃい…","If you want to get more lady's clothing,
come back anytime..."
81,Npc_SmallOasis008_S1_Near_001,ウフフフ…,Heeheehee...
