#,Title,JPja,USen
1,Atacked00,しーっ…魔物に気づかれるぞ,Shhh... Do you want to get found out?
28,RetMSG_Rane_02,"…勇気はありそうだが教養はどうだ？
例えば金属類に落ちやすいという雷の性質…
知っていれば雨の日に金属は身につけないし
逆に魔物には金属の武器を…と考えるはず","You've courage, sure—you'd need it to
go out adventuring—but how about
smarts? Here's a quick test.
Lightning is more common on rainy days,
right? That's not the test... But knowing
this, you'd avoid metal gear in the rain.
But what do you think might happen if
you threw a metal weapon at a monster?
Is that an electrifying concept or what?"
29,RetMSG_Rane_02_1,"金属類に落ちやすいという雷の性質…

知っていれば雨の日に金属は身につけないし
逆に魔物には金属の武器を…と考えるはず","Lightning tends to strike metal objects
more often... Knowing this might make
you not equip metal gear on rainy days...
But it might make you consider throwing
a metal weapon at a monster at the
perfect time... Maybe give it a shot."
30,RetMSG_Rane_03,"…まさか やるべき事を
見失ってはいないよな？
虫捕ったり泳いだり城に潜入したり寝たり…
やるべきことは星の数ほどあるぞ？","I've seen that look in your eyes before.
You've lost sight of what's important in
life, haven't you?
Catching bugs, swimming, infiltrating the
castle, sleeping... The possibilities are
limitless, don't you think?"
31,RetMSG_Rane_03_1,"虫捕ったり泳いだり城に潜入したり寝たり…
やるべきことは星の数ほどあるぞ","Catching bugs, swimming, infiltrating the
castle, sleeping... The possibilities are
limitless, don't you think?"
32,RetMSG_Rane_04,"客足が鈍る雨の日こそ逆に買い物日和だ
…なぜだかわかるか？
客寄せのために とっておきの品が
並ぶことが多いからさ","Shopkeepers get fewer customers on
rainy days, but that's sometimes the best
time to go shopping. You know why?
Because that's when they bring out their
special goods. You never know what they
keep on hand as an added incentive."
33,RetMSG_Rane_04_1,"客足が鈍る雨の日こそ逆に買い物日和だ
とっておきの品が並ぶことが多いからさ","Shopkeepers get fewer customers on
rainy days, but that can be the best time
to go shopping for those special items."
34,SavedLv1_00,心配ないもう魔物は去ったはず,"No need to worry. Those monsters must
be gone by now."
35,SavedLv1_01,魔物の方も…こちらを怖がってるものだ,"Maybe those monsters were just as
scared of us as we were of them..."
36,SavedLv2_00,そうだな…今の撃退方法は正しいな,Sweet... I guess that takes care of that.
37,SavedLv2_01,…ピンチは去ったと考えて よさそうだ,"...I'm gonna assume we're in the clear
now and get back to what I was doing."
38,SavedLv3_00,ここは君に礼を言っておこう…,I should really thank you.
39,SavedLv3_01,さすがだな…礼を言うよ,You're really something. Thanks so much.
40,Thanks00,"これは気持ちだ
受け取ってくれ","Here, I want you to have this. It's just
a small token of my appreciation."
