#,Title,JPja,USen
1,Atacked00,どうしよう…怖い…,"Oh, no... I'm scared..."
15,MSG_Futa_04_1,"でっしぇ でっしぇ でっしぇっしぇ～♪

ハテノ村の染物屋さんいい味出してるのよ
彼の口ぐせで歌作っちゃうくらい","\""The colors of these fabrics are just
to dye for!\""

If you ever talk to the owner of the dye
shop in Hateno Village, you'd better
have a high tolerance for lethal puns."
16,Near00,朝はニガテ…,Mornings are the WORST.
17,Near01,新しい服 ほしいな～,I want some new clothes...
18,Near02,何食べよっかナ,Hm... What to eat...
19,Near03,目がショボショボ…,My eyes are so tired...
20,Near04,ああ もう…,Not good...
21,Rest_00,"馬につける「くら」や 「手綱」…
せっかくなら オシャレな方がいいと思わない？
馬具の着け替えは馬宿でやってるわよ","If you're gonna need saddles and bridles
anyway...you might as well make them
as stylish as possible, don't you think? 
If you decide to take my advice and swap
your horse's gear, a stable's the place to
do it. Your horse will thank you!"
22,Rest_01,"雨の日に濡れないコツはね…
フフフ…出歩かないことよ","Here's the secret to keeping dry on a
rainy day... And you can't tell ANYONE...
Simply don't go outside."
23,Rest_02,"…もしかして雨がうれしいの？
そんな事ないわよね","You mean to tell me you LIKE the rain?
That's ridiculous. Your clothes smell
like wet dog!"
24,RetMSG_Futa_00,"キミって ちょっと違うわね
着こなしとか身のこなしがスマートだもの
ここだけの話…双子馬宿を利用する旅人って
どこか垢抜けてないのよね","You're not like the others. You're so
fit, so stylish.

Just between you and me...the sorts of
folks who visit the Dueling Peaks Stable
aren't exactly the pinnacle of fashion..."
25,RetMSG_Futa_00_1,"双子馬宿にいる人達も もうちょっと
オシャレに敏感になってほしい って感じ","I don't like to judge people, but...
Oh, who am I kidding? I love judging
people!
Take the folks at Dueling Peaks Stable for
instance. I wish those yokels had at least
a little basic fashion sense."
26,RetMSG_Futa_01,"キミって着こなしが上手…

言われたことある？
なかったとしたら みんな見る目ないのよ","You've got a real eye for coordinating
your, uh...outfit there.

Just take what I say. I have the keenest
eye for fashion in the land."
27,RetMSG_Futa_01_1,"キミの着こなし そこそこスタイリッシュよね
他の旅人は そういうの気にしないのかなー？","You've got a good eye for fashion.
Do adventurers just not care about
that sort of thing anymore?"
28,RetMSG_Futa_02,"ああ…着替えたい着替えたい
新しい服に着替えたい…
この街道を北に歩けばカカリコ村があって
いろいろな服を買うことができるんだけど…
オシャレに お金使いすぎちゃって…","My favorite part about traveling is finding
new fashions in the places you visit...
I love discovering new looks!
Like, if you keep taking this path north,
you'll wind up in Kakariko Village. They
have some of my favorite clothes ever.
I'd be there right now, if I hadn't already
blown my last few rupees on this
stunning neckerchief..."
29,RetMSG_Futa_02_1,"カカリコ村で新しい服買っちゃおうかなー
どうしよーかなー","I'm thinking about picking up some new
clothes in Kakariko Village. I just don't
know if I can justify the cost..."
30,RetMSG_Futa_03,"…もしかして おねえさんに
服装チェックしてもらいたいとか？
あ…そういうことじゃないのね
ごめんなさい","What is it? Did you want me to
evaluate your fashion sense?

No? Well, fine. You probably wouldn't
have liked what I had to say anyway."
31,RetMSG_Futa_03_1,"服装チェックしてほしいの？

……

ごめんちょっと何とも言えない感じ","You want me to give you a quick fashion
assessment? Sure thing. Let me just...

...


Yeah, sorry. I don't even know where
to begin..."
32,RetMSG_Futa_04,"この服の色…
なんだか飽きてきちゃったな
久しぶりにハテノ村の染物屋に行って
別の色に染めてもらおっかなぁ","I don't know... I'm just so tired of this
color. Maybe I'll visit the dye shop in
Hateno Village to refresh my look."
33,RetMSG_Futa_04_1,"この服ハテノ村の染物屋に行って
別の色に染め直してもらおっかなぁ","I love this top, but I think I'm just getting
bored of the colors. Maybe it's time for a
stop at the dye shop in Hateno Village."
34,SavedLv1_00,"キミって なかなかやるのね
ありがと！","You're pretty handy with the killing!
Thanks!"
35,SavedLv1_01,"どうなるかって思っちゃった
ありがと！","I wasn't expecting an ambush!
Thanks for helping me out."
36,SavedLv2_00,"キミがいてくれて よかった…
どうも ありがとう","I'm so glad you were here to help...
I can't thank you enough."
37,SavedLv2_01,キミが いてくれなかったらと思うと…,"If you hadn't come... I really don't want
to think what could have happened."
38,SavedLv3_00,"キミは私の命の恩人よ！
大げさでも何でもなく！","You've saved my life! I mean it.
No exaggeration here."
39,SavedLv3_01,キミがいなかったら私は今ごろ…,"I dread to think what could have
happened..."
40,Thanks00,これ助けてくれたお礼よ,"Here, this is for rescuing me."
