#,Title,JPja,USen
1,Atacked00,"はぁ…ふぅ…ひぃ…
さすがに もうダメかと思ったよ…","Hoo... Phew! *gasp* I thought I was
done for!"
30,RetMSG_Futa_03,"…名所案内でもしてほしいのか？
俺の場合 どうしたって馬がらみになるぞ？
じつは ここから東の方角に
馬術訓練場の跡地がある
地図にも載るほどの重要な施設だったが
今じゃ魔物が何やら訓練してるみたいだな","You want me to point out some local
areas of interest? Sorry, but I only talk
about horses. All day, every day.
Although...if you head east from here,
you'll find the ruins of the old horse
training ground.
It's pretty important. Shows up on maps
and everything. Sounds like it's got a bit
of a monster infestation goin' on now..."
31,RetMSG_Futa_03_1,"東には馬術訓練場の跡地がある
今じゃ魔物の訓練所と化してるがな","If you head east from here, you'll find
the ruins of the old horse training
ground.
Sounds like it's got a bit of a monster
infestation goin' on now, though..."
32,RetMSG_Futa_04,"…君が何を知りたいのかは無視して
馬の捕まえ方のコツを教えてやろう
気付かれぬよう後ろからそっと近づいて
素早く乗ったら撫でまくるんだよ","You probably don't care for horsey facts,
but that's all I've got to offer, so hold
on to your...well, you know.
The secret to holding on to your horses,
by the way, is to approach them quietly
from behind and then hop on quick!
Once you're on, give 'em a little pet to
let them know you care."
33,RetMSG_Futa_04_1,"馬を捕まえるなら気付かれぬよう
後ろから近づいて乗れたら撫でまくるんだ！","The secret to catching horses is to
approach them quietly from behind
and then hop on quick!
Once you're on, give 'em a little pet to
let them know you care."
34,SavedLv1_00,何とか助かった！,"I'm saved! Somehow, I've been saved!"
35,SavedLv1_01,"命あっての旅だからな！
助けてくれて ありがとう！","They say the journey is more important
than the destination...but not if I get
killed along the way... Thank you."
36,SavedLv2_00,"馬のおかげで逃げ切れた…
もちろん君にも感謝だよ","Thanks to my faithful horsey, I was able
to ride to safety! I mean, I guess you
helped too. So...thank you?"
37,SavedLv2_01,"馬も俺も助かった！
君には尻尾を向けられないな","You've saved me and my horse and/or
horses! I won't forget what you did."
38,SavedLv3_00,"…ありがとうな
おかげで命がつながった","Thank you. I thought today might be my
last, but thanks to you, it won't be."
39,SavedLv3_01,魔物の恐ろしさを あらためて知ったよ…,"When you're a kid, you hear tales about
how scary monsters are, but when you're
an adult, you get to find out firsthand..."
40,Thanks00,わずかばかりだが感謝の気持ちだ…,"I know it's not much, but I'd like to
give you some kind of thanks."
