#,Title,JPja,USen
1,Atacked00,"魔物…まだいるみたいだね
どうしたらいいかな…","Monsters are still about...
Oh, what am I to do..."
13,MSG_Futa_03_1,"流れ星が落下した地点に行けば
お宝が手に入るらしいけど…
ああ流れ星…ただただ この目で見てみたい","If you go to where a shooting star lands,
apparently you'll find treasure there.

A shooting star... Oh, how I'd love to see
one with my own eyes..."
14,MSG_Futa_04,"この公園からもほら…
ハイラル城が見えるだろ？
だけど景色を楽しむ気にはならなくて
何かこう心が騒ぐばかりで…","Even from this park, if you take a look...
you can see Hyrule Castle. See it?

However, I can't really enjoy the view.
I can't explain it, but I just feel uneasy
when I look at it..."
15,MSG_Futa_04_1,"この公園から見えるハイラル城…
あれを見る度に ひどく不安になるんだ","The view of Hyrule Castle from here...
When I see it, I become overwhelmed
with dread."
16,Near00,朝は気持ちいい！,What a lovely morning!
17,Near02,心がざわつく…,Something feels off...
18,Near03,寝ちゃおうかな…,Maybe I'll take a nap...
19,Near04,降ると思ってた…,I was expecting it to rain...
20,Rest_00,"平原外れの馬宿とサーディン公園跡との間を
馬で駆け抜けるのは最高の体験さ
ボクは じつに頼もしい馬を見つけた！
ぜひキミも良い馬を！","It feels amazing to gallop between the
Outskirt Stable and Sanidin Park Ruins
on horseback.
It helps that my horse is beyond reliable.
I hope you find a good horse too!"
21,Rest_01,"雨は雨でロマンチックだけど
馬で走る気は ボクはしないな","Rain is pure romance, but even still...
I don't feel like riding my horse
right now."
22,Rest_02,"ひゃー！""降ってきたなあ！
これは しばらく待つしかないかな？","Nooo! It's raining! I guess I'll have to
wait here..."
23,RetMSG_Futa_00,"キミなら すでに知ってそうだけど
夜にだけ現れる魔物が いるんだよね
骨の魔物や コウモリの魔物…

普通の感覚なら会いたくないやつらばかりさ","You probably know this, but there are
monsters that appear only at night.
Skeletal monsters and flying monsters...
If you have any sense at all, you don't
ever want to see those things."
24,RetMSG_Futa_00_1,"夜にだけ現れる魔物は じつに危険だ
骨やコウモリ…""考えただけでああ…","Monsters that appear at night are very
dangerous. Skeletons and awful winged
creatures... Just the thought terrifies me!"
25,RetMSG_Futa_01,"この近くに…
「ヌシ」と呼ばれる何かがいるらしい…
デカイ魚の事なのか ガンコおやじの事なのか
何のことやら さっぱりわからないんだけどね","Near here, there lives something called
the Lord of the Mountain, they say.

I don't know if it's, like...a big fish or a
stubborn old man or what. Who knows!"
26,RetMSG_Futa_01_1,"この近くに「ヌシ」がいるらしい…
デカイ魚か ガンコおやじか…他の何かか…","The Lord of the Mountain is said to live
near here...

Is it a big fish? A stubborn old man?
Or is it something else altogether..."
27,RetMSG_Futa_02,"街道には廃墟になった休憩所があるんだけど
どうも人が生活していた跡があってね
廃れても休憩所は休憩所
旅人が心休まる場所なんだろうね","There's an abandoned rest area on the
high road. It seems like someone once
lived there.
But even if it's abandoned, a rest area is
a rest area. I'm sure it's a great place
for travelers to relax!"
28,RetMSG_Futa_02_1,"街道沿いにある廃墟…昔の旅人にとっては
心休まる場所だったんだろうね","There's an abandoned rest area on the
high road. I'm sure it was once a great
place for travelers of yore to relax!"
29,RetMSG_Futa_03,"夜は魔物のための時間帯だと
ボクは思うんだよね
暗くなってきたら馬を駆って
早く安全なところに移動した方がいいね","The night belongs to the monsters.
When it gets dark, urge your horse to
hustle and find a safe place to hide."
30,RetMSG_Futa_03_1,"夜は魔物が シャレにならない
暗くなってきたら安全なところに移動しなよ","Night monsters are no joking matter.
When it gets dark, you'd better hurry
and find somewhere safe to hide."
31,RetMSG_Futa_04,"ボクはどちらかというと慎重派だから
魔物が活気付く夜は あまり出歩きたくないんだ
臆病っていうのとは違うんだよ","I'm very cautious, so I don't like to go
out on nights when monsters are about.
It's not that I'm scared or anything..."
32,RetMSG_Futa_04_1,"ボクは慎重派なんだ…""魔物が活気付く夜には
できれば出歩きたくないのさ","I'm very cautious, so I don't go out on
nights when monsters are about."
33,SavedLv1_00,…もう大丈夫かな？,Is everything...OK now?
34,SavedLv1_01,"…えーっとキミは大丈夫？
ケガとかない？","Umm... Are you OK? You're not hurt,
are you?"
35,SavedLv2_00,…た助けてくれて ありがとう,Thanks... Th-thanks for helping me!
36,SavedLv2_01,"ふぅ…魔物は苦手でね
助かったよ ありがとう","Yikes... I really hate monsters.
Thanks for helping me!"
37,SavedLv3_00,"…に逃げ足には自信あったんだけど
膝がガクガク震えてしまって…","I was always so sure that if that ever
happened...I'd just run away quickly.
But my knees wouldn't stop shaking!"
38,SavedLv3_01,"これで旅も人生も おしまいかと思った…
助けてくれて ありがとうね","I thought both my trip AND my life had
come to an end here. Thanks so much
for helping me!"
39,Thanks00,キミには何か お礼しなきゃね！,I must find a way to thank you!
