#,Title,JPja,USen
1,"""0000""",運命を感じました！,You're my dream girl!
26,RetMSG_Gerud_00_1,"ヴォーイがこの街に自由に出入り
できるようになったらって一瞬思ったけど
つらいばかりじゃないし外の世界は新鮮だし
ヴォーイハントも悪くないって思えて来たわ","Sometimes I wish voe were allowed in
town, but banning them does have
some advantages...
The outside world can be an interesting
place, and I'd probably never have
left town if I could just hear about it."
27,RetMSG_Gerud_01,"これからカラカラバザールに
行こうと思ってるんだけど
私 スナザラシに乗れないから
自力で歩くしかないのよねぇ…
子供の頃に
ちゃんと練習しておけばよかった…","Kara Kara Bazaar is sounding real nice
right about now, but...I can't sand-seal surf, so I'd have
to walk, and I'm not feeling up to that
right now.
Why didn't I ever learn how to stay
upright while one of those things pulls
me around the desert? *sigh*"
28,RetMSG_Gerud_01_1,"はぁ…スナザラシに乗る練習
子供の頃 もっとしておけばよかった…","*sigh* \""Stop playing in the fountain and
go practice your sand-seal riding!\"" vaba
always said. Why didn't I listen?"
29,RetMSG_Gerud_02,"いくら神獣が大人しくなったといっても
砂漠の危険が去ったわけじゃないし
あいかわらず魔物も多いから
急いで移動した方がいいわよ
スナザラシを利用すれば楽勝なんだけど
私乗れないのよね…","Even with the Divine Beast appeased,
these sands are dangerous. Move fast,
or the monsters will catch you.
It's easiest to give them the slip when
you're sand-seal surfing, but I never
really learned how."
30,RetMSG_Gerud_02_1,"神獣が大人しくなっても
砂漠が危険な事には変わりないわ
アナタも急いで移動した方がいいわよ","Even with the Divine Beast appeased,
these sands are dangerous. Move fast,
or the monsters will catch you."
31,RetMSG_Gerud_03,"カラカラバザールって
水もあって緑もあって
いい感じだと思わない？

私ね ハネムーンは カラカラバザールって
決めてるんだ
そのためにも早く運命のヴォーイを
見つけないとね","There's no better place to relax than
Kara Kara Bazaar. Cool water, green
plants—this place has it all.
I come here whenever possible.
I just can't get enough of it!"
32,RetMSG_Gerud_03_1,"妄想ばっかり膨らんじゃうけど
まずは早く運命のヴォーイを見つけないとね","My daydreams keep getting more
elaborate. I'd better get down to it and
start living them!"
33,RetMSG_Gerud_04,"ここのヒンヤリメロン もう食べた？

ゲルドの街のメロンと同じはずなんだけど
ここで食べると すごくおいしく感じるのよね～
それに暑い時に食べると
体がひんや～りして気持ちいいんだよね
だから子供の頃は よく砂漠で
ヒンヤリメロンの食べ歩きしてたなぁ
「はしたないっ！」て
ヴァーバに怒られたけど…
ふふっ…私に もし子供ができたら
ヴァーバと同じこと言ったりして","Have you tried the hydromelon here?
It's the same fruit you can buy in
Gerudo Town—it just tastes better here.
In this desert heat, it's just the thing to
cool you down inside and out.I used to walk around these sands eating
them when I was a young vai. Oh, how
my vaba fussed at me for it!
Hah... But I'm sure when I have vai
of my own, I'll be the one fussing
at them."
34,RetMSG_Gerud_04_1,"ヒンヤリメロンを暑い時に食べると
体がひんや～りして気持ちいいのよね～
幼い頃は お昼間に砂漠を渡る時の
必需品だったんだ","In the worst of the desert heat, have
some hydromelon. There's nothing
better for cooling off.
I would never go outside the town walls
without some when I was a young vai."
35,SavedLv1_00,"あ…あぶなかったわ
もう魔物は… いないよね…？","Hmm... That was trouble, no mistake.
It's over now, right?"
36,SavedLv1_01,"サ…サークサーク
もう魔物はいないみたいね…","Sa...Sarqso. That looked like the last of
the monsters."
37,SavedLv2_00,"アナタ…
すごく強いのね… ビックリしちゃった…","Sa'oten! You're stronger than I gave you
credit for."
38,SavedLv2_01,"サークサーク

私もアナタみたいに強かったら
一人でも生きていけるのに…","Sarqso, traveler. I really should be able
to handle myself... Need to work on that."
39,SavedLv3_00,"この辺り昔から魔物は多かったけど…
最近以前よりも凶暴になった気がするわ…","There've been monsters swarming these
sands ever since I can remember.I swear they've gotten more
aggressive lately, though."
40,SavedLv3_01,"サークサーク

でも またいつ魔物が襲ってくるかわからないわ
早く逃げないと！","Sarqso, traveler. But that thing's friends
could show up any second. Let's run
while we still can!"
41,Thanks00,"そうだ忘れないうちにこれ…
少ないけど助けてくれたお礼よ","Oh, right... You should have this.
You fought well."
42,first,"ど…どうしよぅ…
ヴォーイに話しかけられちゃった…
落ち着けポドマ…
えっと… まずは挨拶だよね…","OK... It's a voe. You can handle this.
Deep breaths, Kyra. Remember your training.First... You greet the voe like anyone else."
43,first_00,"は…初めまして…
私はポドマって言います
えっと… ゲルド族です…

私達の民族は年頃になったら
運命のヴォーイを探す旅にでるんですが…
一目会った時から決めてました！

よかったら私をアナタの
運命のヴァーイにしてもらえませんか？","N...nice to meet you! I'm Kyra.
From the...the... From the Gerudo!I'm wandering the world, learning what
I can and seeking my dreams...

And I can tell, just from looking at you...
You have a place in my dreams, don't
you? Did we meet for a reason?"
44,first_01,"あっ そうなの？
じゃあ用はないわね
私 こうみえて暇じゃないの
じゃあねサヴォーク","Oh, is that how it's going to be?
Then I can stop wasting my time
with you.
Sav'orq, traveler."
45,first_01_1,"…悪いけど
用がないなら話しかけないでくれる？","I hate to be rude, but... What's the point
in talking to you anymore?"
46,first_02,"…ダメね

簡単に「運命」とか言うヴォーイには
気をつけなさいってヴァーバ言ってたもの
悪いけど さっきのは忘れてくれる？
じゃあねサヴォーク","Hmm... No. I know this one.My vaba warned me about voe who throw
words like \""dream girl\"" around.
Let's just forget we ever spoke.
Sav'orq, traveler."
47,first_03,"また アナタなの？

私は運命のヴォーイを見つけるために
街を出てきたんだから邪魔しないでくれる？
それとも…

アンタが私の
運命のヴォーイになってくれるっての？","You again?I'm on my personal journey of learning
and discovery, so it would be great if you
could not disrupt it...
Unless... Do you think you're part of my
destiny? My dream life?"
48,first_04,"簡単に「運命」とか言うヴォーイほど
胡散臭いものはないっていう ヴァーバの言葉…
本当みたいね

私 こうみえて暇じゃないの
じゃあねサヴォーク","My vaba always said nothing's so shady
as a voe who talks about dream this
and dream that. I guess she was right.
Run along, voe. I'm busy."
49,first_04_1,"ほんと…
ヴァーバの言ったとおりね…
私暇じゃないんだから
あっち行ってくれない？","Hmm... My vaba was right about you voe.\""Dream girl...\"" Nah, I don't have time to
waste on you. Get out of here."
50,first_05,"へぇ～
その服 いい感じじゃない？
ゲルド人が着るのとは
また雰囲気が違って新鮮だね
それなら ステキヴォーイが
たくさん寄ってくるんじゃない？
私もいい年齢になったから
運命のヴォーイを探す決心をしたんだけどさ…
なかなか慣れ親しんだ土地から
出られなくてね…
ここに来るヴォーイを狙うってのも
ひとつの手かなと思ってるんだ
アンタも一人でウロウロしてないで
早く守ってくれる ヴォーイを見つけなよ
じゃあねサヴォーク！","Pretty clothes. You don't see my
kinswomen wearing that style often.
I bet it drives voe out in the world wild.
I'm at the perfect age to travel and see
what the world holds, myself, but I've
barely explored this desert...
Adventures won't come and find me, I
know. I have to put myself out there...
I like staying around the familiar, I guess.
You, though... You should see the
world. Meet new people. Maybe you'll
meet a nice voe!
Sav'orq, traveler!"
51,hello,サヴォッタ！,Sav'otta!
52,hello_00,サヴァーク！,Sav'aaq.
53,hello_01,サヴァサーバ！,Sav'saaba!
