#,Title,JPja,USen
1,"""0000""",見学する,I'll observe.
28,talk17,"う～ん

今日のレッスンは
ハートミルクスープにしようと思ってたのに
肝心のレシピが
ちょっと思い出せないのよね…
フレッシュミルクとビリビリフルーツと
ヒンヤリメロンが1つずつ
あとはハート型の野菜が２つあれば
ハートミルクスープが作れるんだけど…
ハート形の野菜って
なんだったかしら…
でも まぁいつか思い出せるでしょう…
良いヴァーイは立ち止まったりはしないの","Hmm...


I was planning on creamy heart soup for
the lesson today, but I'm being a bit
forgetful, it seems.
I know that I need some fresh milk, one
voltfruit, one hydromelon, and two
heart-shaped vegetables...
I just can't recall what the heart-shaped 
vegetable was...

Well, I'm sure it'll come back to me
eventually... Can't afford to lose my
momentum in life!"
29,talk18,"まぁ いつか思い出せるでしょう…
いいヴァーイは立ち止まらないものなの","Well, I'm sure it'll come back to me
eventually... Can't afford to lose my
momentum in life!"
30,talk19,サヴォッタ！,Sav'otta!
31,talk20,サヴァーク！,Sav'aaq!
32,talk21,サヴァサーバ！,Sav'saaba!
33,talk23,"あら… アナタ…
また恋のレッスンを受けたいのかしら？","Oh, it's you. Did you want to observe
the \""Voe and You\"" class?"
34,talk24,"みなさ～ん

どんなリクエストにも笑顔で応えるのが
ステキヴァーイになる一歩！
また この可愛いヴァーイに
皆さんの日頃の成果を見せて差し上げましょう
では…

ステキヴォーイが倒れています
アナタ達なら どうする？","Attention, everyone! Let's get started!
We can show this cute vai what we've
been learning in class!
Now then...


In your travels, you come upon an
injured voe lying on the ground. What do
you do?"
35,talk25,"ハイ！

すぐに病院に運びます！","Oh!


I immediately lift him up over my
shoulder and carry him to the nearest
person who can treat him!"
36,talk26,"さすがプシャンちゃん
的確な行動ね
ただ… アナタが担いで運んじゃダメよ
ヴォーイはか弱いヴァーイに弱いんだから","That's a very proactive answer, Pasha!


Always be aware that an injured person
may have non-visible injuries before you
move them, though!"
37,talk27,"ハイ！

その場で薬を作り
手当します！","Oh!


I would determine what was the matter
and make a medicine on the spot
to treat him!"
38,talk28,"ヴォーイは手作りのものに弱い…

さすが ディショーナちゃん
ヴォーイ心をおさえてるわね！","Great answer, Dina!


Just be careful that the voe doesn't have
some sort of allergy to the ingredients
in your medicine!"
39,talk29,"ハイ！

誰にも見つからないように
家に連れて帰ります！","Oh!


I would secretly bring him back to my
home, where I could help him gradually
recover! "
40,talk30,"リッスンちゃん…

それも犯罪よ…","Risa...
A sweet sentiment...
But also basically kidnapping."
41,talk31,"昼は恋愛教室
夜は料理教室
やりすぎって周りから言われることもあるけど
恋愛に やりすぎなんてないと思わない？","During the day, it's \""Voe and You.\""
At night it's the cooking classes.

People around me say it's a bit much,
but I say as long as there is something to
learn, why not keep learning?"
42,talk32,"みなさ～ん

どんなリクエストにも笑顔で応えるのが
ステキヴァーイになる一歩！
また この可愛いヴァーイに
皆さんの日頃の成果を見せて差し上げましょう
では…

なんと！ ステキヴォーイが声をかけてきました
アナタ達なら どうする？","Attention, everyone! Let's get started!
We can show this cute vai what we've
been learning in class!
Now then...


You are suddenly approached by a voe
whose attention you've sought, and he
abruptly engages you in conversation."
43,talk33,"ハイ！

悩む振りをしてみます！","Hrm...


I would pretend that I don't know how to
speak his language."
44,talk34,"さすがプシャンちゃん
ジラしは上級テクニックよ
徐々に心を開いてる感じを演技するのは
なかなか難しいから
しっかり練習しておくようにね","That's an interesting approach, Pasha!
You could inspire some curiosity in the
voe by doing that...
Remember: it isn't unrealistic that the
voe may actually speak the language you
pretend to know, too!"
45,talk35,"ハイ！

まずは相手の装備品をチェックします！","Oh!


I would take the up-close opportunity to
determine his social standing based on
the clothes he's wearing!"
46,talk36,"まぁ そこに気が付くなんて
ディショーナちゃん なかなかやるわね
わかりやすいのは装備の中でも装飾品よ
さりげなくチェックするようにね","Ah, good thinking, Dina.


Just remember that sometimes all of
someone's good clothes are dirty, so
they might wear something more casual."
47,talk37,"ハイ！

すぐに婚姻の契りをかわします！","Oh!


I would grab his hand and twist his wrist
until he agreed to marry me!"
48,talk38,"リッスンちゃん…

あとで先生とゆっくり話しましょうか…","Wha... You'd...


Risa... Let's talk after class."
49,talk39,"あら…
アナタも私の恋のレッスンを受けたいの？
私はワーシャよ

昼は恋愛教室
夜は料理教室を開いて
ゲルドのヴァーイ達に
恋のABCを教えてるの
よかったら アナタも一緒にいかが？","Oh... Are you interested in taking my
class \""Voe and You\""?
I'm Ashai.
During the day I teach a class on the
voe of the world, and at night I teach
cooking classes.
Why don't you join us?"
50,talk40,"ふふ…
アナタ ウブな顔してわかってるじゃない","Heehee...
You're wearing such an innocent
expression, but you understand, yeah?"
51,talk41,"あら…
アナタ まだヴォーイ心がわかってないのね
私のレッスン
受けたほうがいいんじゃないかしら？","Oh, dear...
It sounds like you don't yet understand.

Perhaps you should consider taking my
lessons, hm?"
52,talk42,サヴォッタ！,Sav'otta!
53,talk43,サヴァーク！,Sav'aaq!
54,talk44,サヴァサーバ！,Sav'saaba!
