#,Title,JPja,USen
1,"""0000""",はい,I am.
62,Shinju_05_Fire,"ゴロン族 ダルケルが操った
神獣 ヴァ・ルーダニア","Divine Beast Vah Rudania also remains.
That one was controlled by Daruk
of the Gorons."
63,Shinju_05_Water,ゾーラ族 ミファーが操った神獣 ヴァ・ルッタ,"Divine Beast Vah Ruta also remains.
That one was controlled by Mipha
of the Zora."
64,Shinju_05_Wind,"残る神獣は リト族 リーバルが操った
神獣 ヴァ・メドー","Still, the Divine Beast Vah Medoh
remains. That one was controlled
by Revali of the Rito."
65,Shinju_05_noko_Electric,"残る神獣は
ゲルド族 ウルボザが操った神獣 ヴァ・ナボリス","Still, the Divine Beast Vah Naboris
remains. That one was controlled
by Urbosa of the Gerudo."
66,Shinju_05_noko_Fire,"残る神獣は ゴロン族 ダルケルが操った
神獣 ヴァ・ルーダニア","Still, the Divine Beast Vah Rudania
remains. That one was controlled
by Daruk of the Gorons."
67,Shinju_05_noko_Water,"残る神獣は ゾーラ族 ミファーが操った
神獣 ヴァ・ルッタ","Still, the Divine Beast Vah Ruta remains.
That one was controlled by Mipha
of the Zora."
68,Sukuitai00_ch3,"ともかく先を見失ったときは
シーカーストーンの導きに従うことじゃな…","In any case... If you ever lose
your way, simply look to your
Sheikah Slate to guide you."
69,Sukuitai00_ch4,"ともかく先を見失ったときは
シーカーストーンの導きに従うことじゃな…","In any case... If you ever lose
your way, simply look to your
Sheikah Slate to guide you."
70,Talk02,"100年前…
姫様と其方は共にあった…
日々己の運命に立ち向かう姫様にとって
其方の存在は癒しであり励みであった…","A hundred years ago, you and the
princess were quite close.

You were a comfort and an encouraging
presence to her as she struggled
each day to fulfill her destiny."
71,Talk03,"だからこそ姫様は其方を信じ
お1人でガノンと戦っておられるのじゃ…","That is why she believes in you...
and why she has the strength
to fight Ganon all alone."
72,Talk04,"リンクよ…

姫様を…

たったお1人で 100年も戦われておる姫様を…
どうか…救ってやってくれ…","Link.


The princess...


Please hurry and save our princess!
She has been fighting all alone for
100 years."
73,Talk05,すべてを見てきたようじゃの…,"It seems you have visited all of
the locations."
74,Talk_00,"記憶は戻っておらんかもしれんが
其方は一度彼奴に敗れておる…","You may not remember your last meeting
with Ganon, but it did not end well for
you."
75,Talk_00_ch3,しっかりと身支度を整えねばならんぞ,"If you want a different outcome this 
time around, you'll need to be properly
equipped."
76,Talk_00_ch4,しっかりと身支度を整えねばならんぞ,"If you want a different outcome this 
time around, you'll need to be properly
equipped."
77,Talk_02,残る神獣の手がかりは ここにあろう…,"You should be able to find the general
location of any remaining Divine Beasts
on your map."
78,Talk_06,"しっかりと姫様のお言葉に
従っておるようじゃの…
神獣達の魂が鎮まり
邪悪な力も弱まっておる
姫様も それを感じておることじゃろう…","It seems you are doing well in following
the princess's words.

The spirits of some Divine Beasts have
been appeased, and the powers of
evil have weakened.
The princess must sense this as well..."
79,Talk_07,"感じるんじゃ…

あやつらの存在を…","I sense it...


Their presence."
80,Talk_07_2,"ダルケル… ウルボザ… リーバル… ミファー…

100年前…我も命を懸けて戦ったのじゃ…
皆とともにな…
しかし我は…皆を守ることは できなんだ…

志半ばで命を失い きっと無念であっただろうと
思って過ごしておった…
しかし この清々しいまでの気配…

皆 あきらめては おらんかったんじゃのぅ…

皆も其方に再会でき
さぞ嬉しかったことであろうのぅ…","Daruk. Urbosa.
Revali. Mipha.

A hundred years ago, I put my life on
the line to fight alongside everyone.

But...I could not protect them.


They died without fulfilling their
destinies. I have lived all this time
thinking they died in vain.
But this energy I feel from
their presence...

It seems they have not given up.


I can also sense...that they were all
overjoyed to see you again."
81,Talk_08,"さあ皆の志は1つ！

厄災ガノンの力が弱まっておる今こそ機なり！
姫様の元へ向かうんじゃ！","Now you all serve the same purpose!


Now it is time to attack Calamity Ganon,
while he is weak! Hurry to the princess!
Go, now!"
82,Talk_09,"神獣達の加護があろうが
厄災ガノンの守りは強固…
其方も心して行くのだぞ","Even with blessings of the Divine Beasts
on your side, you must be careful.
Calamity Ganon will be well protected.
Be prepared for anything!"
83,Talk_10,厄災ガノンはハイラル城にいるはずじゃ,"I believe you will find Calamity Ganon
in Hyrule Castle."
84,Talk_12_ch3,"我は語ることしかできぬが
語れることは何でも語ろうぞ","All I can do is tell you what took place...
and so I shall. I will tell you all that
I know."
85,Talk_12_ch4,"我は語ることしかできぬが
語れることは何でも語ろうぞ","All I can do is tell you what took place...
and so I shall. I will tell you all that
I know."
86,Talk_13,"ゼルダ様の記憶は
其方の記憶でもある…
写し絵の場所を訪れれば
記憶を取り戻すことができるやもしれん…
すべてを巡ることができたら
また戻ってくるがよい","Princess Zelda's memories are your
memories as well.

Visit the locations chronicled by the
Camera, and you may be able to
recover bits of your memory.
Once you have visited all of
the locations, return to me."
87,Talk_14,"…ん

おお…

やっと その剣も主の元へ戻ったか
ほっほ… やはり其方は そうでなくてはのぅ
その退魔の剣は其方と対をなす物…

互いがあってこそ
力を発揮できるというものじゃ
姫様が その剣と其方にかけた想いを
無駄にせぬようにな","Hm?


Ah...


So the sword has been returned to
its rightful owner. Heh, just as I
expected of you, hero.
The sword that seals the darkness is
your counterpart...

So long as that blade is at your side,
you shall wield enormous power.

The princess risked everything for you
and that sword. Do not forget that,
and do not waste this chance."
88,Talk_15,"ふぁっふぁっふぁ…
懐かしいのぅ
100年前も其方は その英傑の服を
毎日着ておったでのぅ
まるで あの頃に戻ったようだわい…

リンクよ…
姫様を…ゼルダ様を頼んだぞ…","Ha! How strange...


To think, 100 years ago, you wore that
Champion's tunic every day. I feel as
though I've been transported in time...
Link... Our princess...
you must rescue her!"
89,Talk_16,"ゼルダ様の記憶は其方の記憶でもある…

思い出さずとも何か感じるものはあろう…","Princess Zelda's memories are your
memories as well.

Even if you do not remember,
you must surely feel something
stirring in your heart..."
90,Talk_17,"最後のゼルダ様の想い出の地…

その場所がどこかは我にもわからぬ…

しかし記憶はなくとも ゼルダ様と共に過ごした
其方であれば きっとたどり着けるじゃろう","The final location of Princess Zelda's
lost memories...

Even I do not know where it is.


But although you do not remember,
you spent much time with the princess.
I have faith you will find it somehow."
91,Talk_18,"厄災ガノンの力が弱まっているとはいえ
姫様のお力が いつまで持つか…","Though Ganon's power is weak, I do not
know how much longer the princess
will be able to hold out."
92,Talk_18_ch3,姫様を…ゼルダ様を頼んだぞ,"The princess...our Zelda...I leave her life
in your hands."
93,Talk_18_ch4,姫様を…ゼルダ様を頼んだぞ,"The princess...our Zelda...I leave her life
in your hands."
94,Talk_19,"ゼルダ様の記憶は
其方の記憶でもある…
写し絵の場所を訪れれば
記憶を取り戻すことができるやもしれん…
写し絵の地を一か所でも
訪れることができたなら
またここへ戻ってくるがよい

其方に渡したいものがあるでのぅ","Princess Zelda's memories are your
memories as well.

Visit the locations chronicled by the
Camera, and you may be able to
recover bits of your memory.
If you manage to visit even one of
those locations...come back and
see me.
After all, there is still something I wish
to give you."
95,Talk_19_ch3,"すでに其方は彼奴と戦う力を身に着けておるはず
姫様を頼んだぞ","You should have everything you need to
confront Ganon. I leave the princess's
life in your hands."
96,Talk_19_ch4,"すでに其方は彼奴と戦う力を身に着けておるはず
姫様を頼んだぞ","You should have everything you need to
confront Ganon. I leave the princess's
life in your hands."
97,Talk_20,"宝珠が盗まれてからというもの
パーヤは ずっとあの調子じゃ
しかし…
まさか宝珠が盗まれてしまうとはのう…
力を借りたいところじゃが
其方には使命がある…","Paya has been like that ever since the
Sheikah heirloom was stolen... To think
that it would be taken, just like that.
We would like your help, of course,
but we understand you have an
important mission to complete."
98,Talk_20_ch3a,我は其方を姫様の元に導くまでじゃ…,"I am only here to help guide you to
the princess..."
99,Talk_20_ch3b,我は其方を姫様の元に導くまでじゃ…,"I am only here to help guide you to
the princess..."
100,Talk_20_ch4a,我は其方を姫様の元に導くまでじゃ…,"I am only here to help guide you to
the princess..."
101,Talk_20_ch4b,我は其方を姫様の元に導くまでじゃ…,"I am only here to help guide you to
the princess..."
102,TerrorArrow,落ち着くのじゃ！,Settle down!
103,TerrorBomb,ここで騒ぐでない,Don't be a fool...
104,TerrorExplosion,なんということを！,What are you doing?!
105,TerrorFire,冗談が過ぎるぞ！,The joke has gone too far!
106,TerrorSword,ここで騒ぐでない,Don't be a fool...
107,ThirdKioku02,"その東の果てで光っておるのがハテノ村
大厄災の被害を免れた数少ない村のひとつじゃ","The location shining on the eastern edge
is Hateno Village.

It is a small village... One of the very few
places that avoided suffering significant
damage during the Great Calamity."
108,ThirdKioku03,"其方はゼルダ様の…
このハイラルの希望なのじゃ
さあ もう後戻りはできん
己の心に従い突き進むがよい！","You are Princess Zelda's only hope...
and Hyrule's, as well...

You cannot turn back now.
Follow your heart and
seize your destiny!"
109,ThirdShinju02,"シーカーストーンの光が其方を導いてくれよう
その場所にいる部族の長に会ってくるのだ","The Sheikah Slate will guide you on
your way. You must go where it tells
you and meet with each leader there."
110,hime00,"これはこれは！

記憶を失おうとも其方は変わらぬな

正義感だけで突き進まんとする
その真面目さは昔のままじゃ","Ha!


Not a memory to your name, yet you are
as intent as ever to charge forward with
only courage and justice on your side.
You have not changed a bit.
Once a hero, always a hero."
111,kioku_00,"しかし…
そのシーカーストーンは まだ完全ではない…","...It seems to me that your Sheikah Slate
is not yet complete."
112,kioku_01,"ゼルダ様が残されたそれは道しるべ…
そして其方の記憶そのものじゃ
そうだのう…","The device Princess Zelda left you is
your guide and also your memory.

Now, let's see..."
113,kioku_02,"ハテノ村の古代研究所なら
力になってくれるかもしれんぞ？","Someone at the research lab in
Hateno Village might be able to
help you..."
