#,Title,JPja,USen
1,"""0008""",始めます,Let's do this.
38,Npc_oasis039_S3_001,"おっと…

もうチャンピオンはアンタだったね

実はそのトロフィーは

古代のお宝を探す鍵なんじゃないかって
言い伝えもあるんだ
アタシ達は まったく興味ないけどね","Oh...


I guess you're the new champion now.


There's a legend shared among sand-
seal racers that the grand trophy is the
key to finding an ancient treasure.
...But that's a load of seal snot if you ask
me."
39,Talk_0000,……,...
40,Talk_0005,"なんだい アンタは？
気軽にパフューに近づくんじゃないよ！
神獣のヤツがいなくなって
やっとコースが使えるようになったからね
パフューは今スナザラシラリーに向けて
気を高めてるんだ！
それとも…

無敗の女王 パフューの記録に
挑戦したいってのかい？","What do you want? The great Tali
doesn't have time to chat with just
anyone!
You see, now that the Divine Beast is
gone, we can finally use the race course.

Tali is busy focusing her energy for the
sand-seal race!

Actually...


Did you want to try to beat Tali's record?
I'll warn you—they don't call her Dame
of the Dunes for nothing."
41,Talk_0006,"ちょいと ちょいと！
パフューを呼び捨てにするんじゃないよ！
パフューって言ったら
スナザラシラリー世界チャンピオンの
パフュー以外いないだろ！","Hey, hey now!
Tali is Tali!

Tali is the sand-seal-racing world
champion! Who else would Tali be?"
42,Talk_0007,"アンタ世界的に有名な
スナザラシラリーを知らないのかい？","You've never heard of Hyrule's pastime?
The world-famous sand-seal racing?"
43,Talk_0008,"このパフューを世界チャンピオンに
育てあげたのは何を隠そうこのアタシさ
この子は昔からシャイな子だけどね
アタシだけには心を開いてくれてんだ
ねぇ パフュー？","If you must know, I am the one who
raised Tali into a world champion.

She's always been shy, but for some 
reason she opened up to me.
Isn't that right, Tali?"
44,Talk_0009,"…っとに やっとラリーができるよ
神獣がいる間は何にもできなかったからね
パフューの腕が
なまっちまうところだったよ","Now we ride!
Now that the Divine Beast is gone, we
can take the seals out again.
I doubt anyone in the world can beat
Tali's time, though."
45,Talk_0010,"アンタ！
何帰ろうとしてんだよ！
パフューがやる気になってるんだから
一勝負受けるのがヴァーイってモンだろ！","Hey, are you really just going to leave?!
Tali wants to see what you've got.

A true vai never backs down from a
challenge."
46,Talk_0011,"勝負はもちろん
スナザラシラリー！","The competition will, of course, be
a sand-seal race!"
47,Talk_0012,"スナザラシに乗り決められたアーチを通って
目的地に向かい時間を競い合う
ゲルド族伝統の競技だ！

途中でスナザラシから下りたり…
コースエリアから外れすぎたら失格だよ","You surf with a sand seal to compete for
the best time while also going through
the marked arches.
It's been a traditional Gerudo sport since
time immemorial!

Oh, yes. And if you get off your shield or
leave the course bounds, you're
disqualified."
48,Talk_0013,"パフューの記録は分秒！

この記録を破ることができたら
あのトロフィーはアンタのもんさ","Tali's record is :!
If you can beat that record,
that trophy is yours. "
49,Talk_0014,"それは 1万年前から歴代チャンピオンに
受け継がれてきた特別なトロフィー","This is the grand trophy that's been
passed down by ten thousand years of
sand-seal-racing champions."
50,Talk_0015,"そして今のチャンピオンこそ
ここにいる パフューなんだ
どうだい？
パフューの記録に挑戦してみるかい？","Tali here is the current champion.
Will you try challenging her record?"
51,Talk_0016,"なっ！

……

まぁいいだろう…闘志のない者と
パフューを戦わせるわけにはいかないね
そんなチキン野郎は
こっちから願い下げだよ","Wha—?


...


Oh, well. No point in having some
nobody try to beat Tali's record anyway.

She'd sweep the floor with you...
and mop it, too!"
52,Talk_0022,"…言い忘れたけど
チャンピオンの記録に挑戦できるんだ
1勝負につき50ルピーいただくよ","I forgot to mention...
Since you're racing against the champ's
record, it'll be 50 rupees per race."
53,Talk_0023,良い払いっぷりだねぇ,All right. Payday!
54,Talk_0025,"スナザラシに乗り決められたアーチを通って
目的地に向かう
それがスナザラシラリーさ！

途中でスナザラシから下りたり…
コースエリアから外れすぎたら""失格だよ","You surf with a sand seal and race to the
finish line while also going through the
arches. That's sand-seal racing!
And if you get off your shield or
leave the course bounds, you're
disqualified."
55,Talk_0026,"なっ！

……

まぁいいだろう…金のない者と
パフューを戦わせるわけにはいかないね
そんなビンボー野郎は
こっちから願い下げだよ","Wha—?! HAHA!


You can't even afford the modest price to
challenge the champ's time?

The race is off! It'd be a waste of time
for some scrub like you to take on the
great Tali!"
56,Talk_0027,"アンタ！
何帰ろうとしてんだよ！
パフューがやる気になってるんだから
一勝負受けるのがヴォーイってモンだろ！","Hey, are you really just going to leave?!
Tali wants to see what you've got.

A voe's voe wouldn't back down."
57,Talk_0028,"またアンタかい！
気軽にパフューに近づくんじゃないよ！
神獣のヤツがいなくなって
やっとコースが使えるようになったからね
パフューは今スナザラシラリーに向けて
気を高めてるんだ！ 
それとも…

無敗の女王 パフューの記録に
挑戦したいってのかい？","You again! Don't bother Tali while she's
getting pumped up for the
sand-seal race!
Now that the Divine Beast is gone, we
can finally use the race course!

Actually...


Did you want to try to beat Tali's record?
I'll warn you—they don't call her Dame
of the Dunes for nothing."
58,Talk_0029,"うんうん そうだね
わかってるよ パフュー","Haha!
You're so funny, Tali."
59,Talk_0030,"またアンタかい！
闘志のない奴が
スナザラシラリーのチャンピオン
パフューに近づくんじゃないよ
それとも…

やっぱりチャンピオンの記録に
挑戦したいってのかい？","You again! Tali is too important to be
mingling with common folk. She's the
sand-seal racing champion!
Or...


So you do want to challenge the
champion's record after all?"
60,Talk_0031,"…っとに やっとラリーができるよ
神獣がいる間は何にもできなかったからね
パフューの腕が
なまっちまうところだったよ","Now we ride!
Now that the Divine Beast is gone, we
can take the seals out again.
I doubt anyone in the world can beat
Tali's time, though."
61,Talk_0032,"そんな人間がいるとは
驚きだねぇ パフュー","I thought everyone knew about it.
Isn't that shocking, Tali?"
62,Talk_0040,"ちょいちょいちょい！

なんだい文無しかい？","Hey, hey, hey!
You don't have the 'pees!"
63,Talk_0041,"そんなはした金しか持たず
パフューと勝負しようだなんて
厚かましいにも
ほどがあるってもんだよ","How dare you bring chump change
to the house of Tali!"
64,Talk_0042,"長ったるい話はもう充分だろ！
さっさと始めようじゃないか","Enough talk!
Let's begin!"
