#,Title,JPja,USen
1,Atacked00,もうヤダ…,"Ugh, I'm really tired of this... Seriously..."
28,RetMSG_Firo_02,"ヤッホー！
あははなんか気分よくって！
ここから南の方にある ラブポンドで
パートナー探しでも しようかな～！","Heya! Wheeee! I'm feeling SO darn good
today!

I think I might head south of here to
Lover's Pond and try to find myself
a partner, yessir!"
29,RetMSG_Firo_02_1,"ここから南の方にある ラブポンドで
パートナー探しでも しようかな～！","I think I might head south of here and
find Lover's Pond! Maybe fortune will
smile on me and I'll find a partner!"
30,RetMSG_Firo_03,"ねぇ私のことお天気屋だって思う？
機嫌の差が激しいって思う？！
…そんなこと聞かれても わかんないよね
ごめん…お詫びにいいこと教えてあげる！
ウオトリー村の魚は脂がノッてて
焼いたらもう うまいのなんのって！","Hey! Do you think I'm...temperamental?
You do? You don't? Do you?! You think
I've got random mood swings, huh?!
Er, sorry... Here, I'll share some nice info
I came across as my form of apology.

The fish in Lurelin Village are pretty fatty.
As a result, I hear they're incredibly
delicious when you grill them!"
31,RetMSG_Firo_03_1,"ウオトリー村の魚は脂がノッてて
焼いたらもう うまいのなんのって！
いいこと聞けて うれしいでしょ？","The fish around Lurelin Village are pretty
fatty... That means they're unbelievably
delicious if you grill them!
Are you glad I was here to give you such
a great tip? Of course you are!"
32,RetMSG_Firo_04,"なあに？何かほしいの？
食べるものじゃなくて情報でもいい？
じゃあ言います…

ウオトリー村には海沿いに遺跡があるらしい！

もう一回言おうか？もういいよね","What now? Whaddya want? *grouse*
I don't have any food for your belly, but
I do have some food for thought...
Apparently, there are ruins on the coast
near Lurelin Village!

That's all! Did you get all that?
It was pretty short, after all."
33,RetMSG_Firo_04_1,"あれ もう一回言ってほしいの？

ウオトリー村には海沿いに遺跡があるらしい！
以上！","What? You want to hear the helpful info I
gave you again? The really short info?
OK...
Apparently, there are ruins not too far
from the coast near Lurelin Village!
That's it!"
34,SavedLv1_00,もう大丈夫だよね？だよね？,"It's safe now, right? Right?"
35,SavedLv1_01,もう大丈夫でしょ？でしょ？,"Everything's OK now, isn't it? Isn't it?"
36,SavedLv2_00,もうダメかと思ったー,I thought I was a goner for sure!
37,SavedLv2_01,なんか悪運強いかもー！,Uh—I think I've got really bad luck!
38,SavedLv3_00,ありがとう助けてくれて…,Thank you...for saving me...
39,SavedLv3_01,強いんだね…ありがと…,You're pretty strong... Thanks.
40,TerrorAnimal,やれやれ…,Give me a break...
41,TerrorEnemy,もうヤダ…,Is this the end?
42,Thanks00,お礼しなきゃね,"I've got to give you a reward, huh..."
