#,Title,JPja,USen
1,"""0000""",お願いします！,"Yes, please!"
27,Talk_22,"まぁ いい
それでお前はどうしたいんだ？
七宝のナイフを作るにはダイヤモンドが1個 
火打ち石が5個それにゲルドのナイフが必要だ","...I suppose nothing is accomplished by
discussing it further. So what do you
want to do?
To make a Scimitar of the Seven, I'll
need one diamond, five flint, and a
Gerudo scimitar."
28,Talk_23,"…まったく族長様から授かりし品を
なくすとは…
お前というやつは…","I can't believe you'd lose such a
precious item. Entrusted to you by
the chief, no less!
I shouldn't be surprised."
29,Talk_26,"まぁ いい
それでお前はどうしたいんだ？
七宝の盾を作るにはダイヤモンドが1個 
火打ち石が5個それにゲルドの盾が必要だ","...I suppose nothing is accomplished by
discussing it further. So what do you
want to do?
To make another Daybreaker, I'll need
one diamond, five flint, and
a Gerudo shield."
30,Talk_28,"…まぁ いい
あの武具は きっと主を守ったのであろう
それで新しいのを作りたいのか？","...I suppose nothing is accomplished by
discussing it further. I'm sure they
protected their master.
Well, do you want me to make new ones
for you?"
31,Talk_29,"…それで火打ち石はどうした？

武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","Well? Where's the flint?


No amount of wishful thinking will allow
me to craft something without the
proper materials."
32,Talk_30,"…それでゲルドの盾はどうした？

武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","Well? Where's the Gerudo shield?


No amount of wishful thinking will allow
me to craft something without the
proper materials."
33,Talk_31,"…それでゲルドのナイフはどうした？

武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","Well? Where's the Gerudo scimitar?


No amount of wishful thinking will allow
me to craft something without the
proper materials."
34,Talk_32,"…ダイヤモンドと火打ち石が足りないぞ？

武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","You don't have enough diamonds
or enough flint.

No amount of wishful thinking will
allow me to craft something without
enough of the proper materials."
35,Talk_33,"…ダイヤモンドとゲルドの盾が足りないぞ？

武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","You don't have enough diamonds or a
Gerudo shield.

No amount of wishful thinking will allow
me to craft something without enough of
the proper materials."
36,Talk_34,"…ダイヤモンドとゲルドのナイフが足りないぞ？

武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","You don't have enough diamonds
or a Gerudo scimitar.

No amount of wishful thinking will allow
me to craft something without enough
of the proper materials."
37,Talk_35,"…火打ち石とゲルドの盾が足りないぞ？

武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","You don't have enough flint or a
Gerudo shield.

No amount of wishful thinking will allow
me to craft something without the
proper materials."
38,Talk_36,"…火打ち石とゲルドのナイフが足りないぞ？

武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","You don't have enough flint or a
Gerudo scimitar.

No amount of wishful thinking will allow
me to craft something without the
proper materials."
39,Talk_37,"どの素材も足りていないな…

武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","You don't have enough of any of the
materials I need...

No amount of wishful thinking will allow
me to craft something without the
proper materials."
40,Talk_38,"…ゲルドのナイフとゲルドの盾が足りないぞ？

武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","You don't have a Gerudo scimitar or a
Gerudo shield.

No amount of wishful thinking will allow
me to craft something without the
proper materials."
41,Talk_39,"…ダイヤモンドと火打ち石と
ゲルドの盾が足りないぞ？
武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","You don't have enough diamonds,
enough flint, or a Gerudo shield.

No amount of wishful thinking will allow
me to craft something without enough
of the proper materials."
42,Talk_40,"…ダイヤモンドと火打ち石と
ゲルドのナイフが足りないぞ？
武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","You don't have enough diamonds,
enough flint, or a Gerudo scimitar.

No amount of wishful thinking will allow
me to craft something without enough
of the proper materials."
43,Talk_41,"…ダイヤモンドとゲルドのナイフと
ゲルドの盾が足りないぞ？
武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","You don't have enough diamonds,
a Gerudo scimitar, or a Gerudo shield.

No amount of wishful thinking will allow
me to craft something without enough
of the proper materials."
44,Talk_42,"…火打ち石とゲルドのナイフと
ゲルドの盾が足りないぞ？
武器を作りたいのはわかるが
材料がないことには どうにもしてやれんな","You don't have enough flint, a
Gerudo scimitar, or a Gerudo shield.

No amount of wishful thinking will allow
me to craft something without the
proper materials."
45,Talk_43,"困ったことがあれば
いつでもこの街に来るといい
この街の者は皆お前の味方だからな

ただし ヴォーイだということは
決して悟られぬようにな","If you ever find yourself in trouble, you
are always welcome to come here.
Everyone in this town is your ally now.
However, you still mustn't let anyone
discover that you are actually a voe."
46,Talk_44,"英傑の武具は雷鳴の兜に続く ゲルド族の宝
それを手にできるハイリア人はお前ぐらいだろう
武具に何かあれば すぐに申し出るんだぞ","The Champion's arms are treasures of
the Gerudo, much like the Thunder Helm.

You are perhaps the only Hylian ever
to wield them.

If anything happens to them, you must
let me know immediately."
47,Talk_45,"七宝の盾を失った…
お前はそう言いたいのか？
私をたばかるつもりか！

本当に この世から消えてしまった時に
また来るんだな","You've lost the Daybreaker?
Is that what you're trying to say?

Ha! Did you think you could deceive
me so easily?!

Take your falsehoods and go! Return to
me if it really has been lost."
48,Talk_46,"七宝のナイフを失った…
お前はそう言いたいのか？
私をたばかるつもりか！

本当に この世から消えてしまった時に
また来るんだな","You've lost the Scimitar of the Seven?
Is that what you're trying to say?

Ha! Did you think you could deceive
me so easily?!

Take your falsehoods and go! Return to
me if it really has been lost."
49,Talk_47,"英傑の武具を失った…
お前はそう言いたいのか？
私をたばかるつもりか！

本当に この世から消えてしまった時に
また来るんだな","You've lost the Champion's arms?
Is that what you're trying to say?

Ha! Did you think you could deceive
me so easily?!

Take your falsehoods and go! Return to
me if it really has been lost."
50,Talk_49,"英傑の武具を失った…
お前はそう言いたいのか？
私をたばかるつもりか！

七宝のナイフは
まだこの世から消えておらんだろう！
しかし七宝の盾は
本当に失ってしまったようだな…","You've lost the Champion's arms?
Is that what you're trying to say?

Ha! Did you think you could deceive
me so easily?!

The Scimitar of the Seven has in fact
not been lost!

Although... It does appear that you've
lost the Daybreaker..."
51,Talk_50,"英傑の武具を失った…
お前はそう言いたいのか？
私をたばかるつもりか！

七宝の盾は
まだこの世から消えておらんだろう！
しかし七宝のナイフは
本当に失ってしまったようだな…","You've lost the Champion's arms?
Is that what you're trying to say?

Ha! Did you think you could deceive
me so easily?!

The Daybreaker has in fact not been lost!


Although... It does appear that you've
lost the Scimitar of the Seven..."
52,TerrorArrow,やる気か？,Think you can take me?
53,TerrorBomb,無礼だぞ！,Rude!
54,TerrorExplosion,賊の奇襲か？！,A surprise attack?!
55,TerrorFire,火を消せ！,Put the fire out!
56,TerrorSword,剣を納めよ！,Put away your weapon!
