#,Title,JPja,USen
1,"""0002""",はいどうぞ,Enjoy!
41,Npc_HighMountain033_S01_001,"はやく～！はやく～～！！

サーモンムニエルが食べた～い！

…えっキールが
お歌の練習に来てほしいって？
だめ～！サーモンムニエルを食べるまでは
行ってあげないもんね～！
お姉ちゃん達だってサーモンムニエルの材料を
買いに行ったから ここにはいないよ？
ご馳走してくれたら お歌の練習してもいいよ
って言ったら本当に買いに行っちゃったけどさ
う～ん…お歌の練習したくない…
けど…ほくほくのサーモンムニエルは食べたい…
…えっ どこへ買いに行ったかって？
そりゃ安くて便利なちゅん天堂でしょ～！","Hurry! Hurry!


I NEED salmon meunière in my
belly!

I know Kheel wants me to practice
singing with her, but I just can't.

Not until I get my salmon meunière!


My sisters already left to get
salmon meunière ingredients.

I told them I wouldn't sing until I get it.
I didn't expect them to actually make it
for me, though!
I don't want to practice singing...
but I really do want some yummy salmon meunière.

What is taking my sisters so long?
I thought they were just going to the
Slippery Falcon."
42,Npc_HighMountain033_S01_101,"はやく～！ はやく～～！！

サーモンムニエルが食べた～い！

くんくん…
くんくんくんくんくん……
わお！この香しい匂いは まさかっ！

さ…サーモンムニエル？！

これ あたしにくれるんだよね？
そうだよねっ？！","Hurry! Hurry!


I NEED salmon meunière in my
belly!

*sniff sniff...*
*sniff sniff sniff*

That amazing smell...
Could it be?

Sa...
Sa...
Salmon meunière?!
You're going to let me have some, right?
RIGHT?!"
43,Npc_HighMountain033_S01_102,やった～ いただきます♪,"YAAAAAAAAAAAAY!
♪Time to dig in!♪"
44,Npc_HighMountain033_S01_104,けち～～～～！！,WOW! YOU'RE MEAN!
45,Npc_HighMountain033_S01_105,"お兄ちゃん もうおつかいは終わりって
みんなに教えてきてくれる～？
…えっ みんなどこへ買いに行ったかって？

そりゃ安くて便利な
ちゅん天堂っきゃないでしょ～！","Can you go tell everyone that
we're all set?

You do know where they went for the
groceries, I assume.

Nowhere but the one-stop shop of
the Slippery Falcon, of course!
It's cheap AND convenient!"
46,Npc_HighMountain033_S01_106,"もぐもぐ……んぐんぐ……
はふっ！ ほくっ…！","*munch munch*...
Hngh mngh...
Hnff! Hurk!"
47,Npc_HighMountain033_S01_107,"ふぅ！おなかいっぱい！…えっ？お姉ちゃん達や妹達との約束？
う～ん破ったらダメだよねぇ…
あたしね本当はお歌好きなんだよ
でもね みんなの前で歌うのが恥ずかしくて
お歌の おひろめ会に出るのが
ユーウツだったの…
お姉ちゃん達や妹達と一緒に練習すれば
だんだん慣れてくるかなぁ…
…お兄ちゃん！サーモンムニエルありがと！
ほくほくで美味しかったよ！
あたし お歌の練習がんばるから
後で聴きに来てよね♪","Mmmmmm... I'm stuffed!...Huh? My promise to my sisters?
I suppose I shouldn't break my promise...

I really DO like singing!
...But I am too nervous to sing in front of
other people.
I have SERIOUS stage fright...but maybe
practicing with my sisters will help me
feel more comfortable.
Anyway, thank you for the amazing
salmon meunière! It was so soft and
flaky and delicious!
I'll give this rehearsal my all.
♪Come listen later!♪"
48,Npc_HighMountain033_S01_201,"はやく～！ はやく～～！！

サーモンムニエルが食べた～い！

…えっ みんなどこへ買いに行ったかって？

そりゃ安くて便利な
ちゅん天堂っきゃないでしょ～！","Hurry!


I NEED salmon meunière in my
mouth!

What is taking my sisters so long?


I thought they were just going to the
Slippery Falcon!"
49,Npc_HighMountain033_S02_002,"ラー ルルルー ラー♪

はう…がんばって歌ってたら
お腹が空いてきた…","♪La loo loo loo laaaaaaa!♪


Phew...
All this singing is making me hungry."
50,Npc_HighMountain033_S02_003,"あたしのお腹のお歌と兄弟岩のお歌
どっち聞く？","Which would you rather hear? My
tummy's song or a song about 
Warbler's Nest?"
51,Npc_HighMountain033_S02_004,"ぐーぐーぐーぐー♪
ぐぎゅるるる～♪","♪Rumble rumble rumble.♪
♪Grrrrrrr.♪"
52,Npc_HighMountain034_R_001,"グリグリはちゅん天堂に来たお客さんを
数えるのが得意なんだよ～♪
え～っと お兄ちゃんで何人目だったかな？
あれれ忘れちゃった～♪","Cree is good at counting!
She always counts customers that come
to the Slippery Falcon every day!
Let's see. You were the...
Huh, I forgot."
53,Npc_HighMountain034_S01_001,"わ～い わ～い♪
ほら見てヤギのバターを買えたよ～♪
…ん～？お歌の練習？

ああ～ そうだ～！忘れてた～！","♪Yah yah!♪
♪I bought some goat butter!♪

...Huh? Rehearsal?


Oh, yeah! I forgot!"
54,Npc_HighMountain034_S01_002,"お兄ちゃん このヤギのバターをあげるから
これでサーモンムニエルを作ってほしいな～
そしたらね炊事場にいる ゲンコちゃんに
食べさせてあげてほしいの～！
おなかいっぱいになったら
きっと お歌の練習にも来てくれると思うんだ～
長女のナンちゃんは
おつかい終わらせて どっか行っちゃったよ～
たぶん高いところで
お歌の練習してるんじゃないかな～？
次女のコッツちゃんはマックスサーモンを
捕まえに行くって言ってたよ～！
村の入口にある小さな池で
お魚と戦ってるんじゃないかな～？","If I give you this goat butter, will you
make some salmon meunière for Genli?
She should be in the kitchen.
She said she won't sing until she's
eaten.

Our older sister Notts is probably
practicing her songs somewhere up high.

Kotts left to catch some hearty salmon.


She's probably fishing at the pond near
the entrance to the village. "
55,Npc_HighMountain034_S01_003,"長女のナンちゃんは高いところで
お歌の練習 してるんじゃないかな～？
次女のコッツちゃんは おサカナとりに
村の入口の小さな池に行ったよ～","My oldest sister Notts is probably
somewhere up high practicing her songs.

Kotts, the second oldest, said she was
going fishing at the pond near the village
entrance."
56,Npc_HighMountain034_S02_003,"ルールルー♪ラー♪

みんなで歌うと楽しいね～！

…あれ？今どこまで歌ったかな…？あれれ？","♪Loo loo loo laa!♪


It's fun singing together!


Even if I don't know the lyrics..."
57,Npc_HighMountain034_S02_004,"お兄ちゃん！ ちょっと歌いなおすから
聞いてくれる？",Hey! Want me to sing the song again?
58,Npc_HighMountain034_S02_005,んーと…んーと……,Um... Ummmm...
59,Npc_HighMountain034_S02_103,"お兄ちゃん このヤギのバターをあげるから
これでサーモンムニエルを…
…って ポーチの中身がいっぱいだから
渡せないよ～","If I give you this goat butter, will you
make some salmon meunière?

...Wait, your inventory is full, so I can't
give it to you."
60,Npc_HighMountain035_F_001,"ルールルー♪ラー♪

『おとめの うたごえと ともに
そのいわ かぜを うけて うたうとき
ゆーしゃに みちを しめさん』

これって どういう意味なのかな～？","♪Loo loo loo laaaaa!♪


\""When wind convinces the rocks to sing,
open the monk's door will swing.\""

What do you think that means?"
61,Npc_HighMountain035_R_001,"もう～～っ！！

お姉ちゃん達の おバカばか～～！！

お歌の練習しようって約束したのに
だ～れも来てくれないじゃない～！
ゾクチョーさまに兄弟岩のお歌を
おひろめしなきゃ いけないのに…
このままじゃ ぶっつけ本番になって
へたっぴ～って言われちゃう～！","Grrrrrr!


My sisters are dumb DUMMIES!


They promised we'd rehearse together,
but NO ONE showed up!

We have to perform our song 
for the elder at Warbler's Nest!

We're going to be laughed off
the stage..."
62,Npc_HighMountain035_R_002,"ねぇ便利そう…じゃなくて
優しそうな お兄ちゃん！
リトの村にいる お姉ちゃん達に
練習サボるな～って伝えてきてよ～！
私が言っても全然来てくれないけど…
カッコイイお兄ちゃんの言うことなら…？
でも心配なのが ワガママな三女のゲンコで
きっと今ごろ炊事場で…
サーモンムニエルが食べた～い！

…な～んて騒いでると思うんだ～

お歌のおひろめ会も出たくないって言うし
困ったお姉ちゃんなの！ムギギ…","Hey, you... You look like I can use you...


Thaaaat is to say...you look like a nice
guy who likes to help people in need.

Can you go tell my sisters in Rito Village
to stop ditching rehearsal?

They won't listen to me, but they might
listen to a scary-looking Hylian like you.

Although Genli might be a tough sell.
She's probably in the kitchen yelling,

\""I want some salmon meunière!\""


...or something like that.


She doesn't want to sing either... 
She's such a pain!"
63,Npc_HighMountain035_R_Near,ピキーーッ！！,Pikyeeeehh!!!
64,Npc_HighMountain035_S01_001,"三女のゲンコの居場所ならわかるよ
ど～せ炊事場で…
サーモンムニエルが食べた～い！

…な～んて騒いでるんじゃないかな？

…えっ？炊事場が どこかって？
それなら私達のおうちの隣だよ～","I know where Genli is!
I think she's probably in the kitchen...

\""I NEED salmon meunière in my
life!\""

...is probably what she's yelling.


The kitchen? It's right next to my house!"
65,Npc_HighMountain035_S01_201,"あれ～ もうゲンコちゃんに
サーモンムニエルを作ってくれたの～？
お兄ちゃん ありがとう～♪

ゲンコちゃん お歌の練習に
来てくれてるといいな～
みんなが集まるころになったら
グリグリも兄弟岩に行くね～♪","Huh? You already made salmon meunière
for Genli?

♪Thaaaank you SO much!♪


I hope Genli will come to rehearsal now.
I'll head over to Warbler's Nest in a bit."
66,Npc_HighMountain035_S02_004,"あっ お兄ちゃん どうもありがと～！
お姉ちゃん達来てくれたよ！
さぁ兄弟岩のお歌の練習始めなくちゃ
どんなお歌か知りたい？知りたい？
ゾクチョーさまが教えてくれたんだけど…

ず～～っと昔から リトの村に伝わる
兄弟岩を お祀りするための歌なんだって！
兄弟岩っていうのは私たちの後ろにある
5つの岩のことだよ
ムズかしくて よくわからないけど
ちょっと気になる歌詞もあるんだ
『おとめの うたごえと ともに
そのいわ かぜを うけて うたうとき
ゆーしゃに みちを しめさん』
これってどういう意味なのかな～？
…そうだ お兄ちゃん！お姉ちゃん達を捜してくれたお礼に
宝物をあげるよ！","Oh, thank you so much!
All of my sisters are here!

Now we can rehearse here at
Warbler's Nest! Want to know what
song we're singing?
Well...the elder told me...


It's a song passed down in the Rito 
Village that was once sung at
Warbler's Nest in ancient times.
If you didn't know, Warbler's Nest is
the big stone platform with the pillars
behind us.
The lyrics don't make a lot of sense, but
there's one line in particular that always
catches my ear...
\""When wind convinces the rocks to sing,
open the monk's door will swing.\""

What do you think that means?
What's a monk?

Oh! And I almost forgot!I got you a little something. Just a small
thanks for bringing all of my sisters here."
67,Npc_HighMountain035_S02_005,"ジャ～ン！コログのうちわ～！

お兄ちゃんも兄弟岩に風を送ってごらん！
音がして楽しいよ～♪","Ta-da! A Korok leaf!


Why don't you swing it in the direction of
Warbler's Nest? It makes a fun noise!"
68,Npc_HighMountain035_S02_006,"ジャ～ン！コログのうちわ～！
…ってポーチの中身がバクハツ寸前だよ！
そのままじゃ宝物あげられないよ～！
いらない物は ポイしてきてね！","Ta-da! A Korok leaf!


...Hey, your inventory is overflowing!
You should toss any melee items you 
don't need."
69,Npc_HighMountain035_S02_100,"お兄ちゃん
私達のお歌 ちゃんと聞きたい？",Did you want to hear our song?
70,Npc_HighMountain035_S02_101,"わかった！
練習続けるね～♪",OK. I'll keep practicing.
