#,Title,JPja,USen
1,Atacked00,ふぅ…ヤバかったな…,"Phew... I don't need another close call
like THAT in my life."
27,RetMSG_Rane_01_1,"ハイラル城をめざしているのかもしれないが
あそこほど危険な場所を俺は知らない！
命を捨てるくらいの覚悟がないなら
城での宝探しは やめたほうがいいぞ！","You might get it into your head to go
check out Hyrule Castle, but I've never
encountered a more dangerous place...
If you head there hoping to find treasure,
be careful that you don't lose your life!"
28,RetMSG_Rane_02,"やあ冒険者！

ハイラル城の西側には
秘密の洞窟があるらしいぞ！
お宝目当てに潜入した奴もいるらしいが
生きて戻ったという話は聞いたことがないな！","Hey there, adventurer! A little treasure
tip for you...

I've heard tell of a secret cave on the
west side of Hyrule Castle!

There are many who've tried to get in
through the cave to hunt for treasure,
but there are none who have returned!"
29,RetMSG_Rane_02_1,"ハイラル城の西側には
秘密の洞窟があるらしいぞ！
お宝目当てに潜入した奴もいるらしいが
生きて戻ったという話は聞いたことがないな！","I've heard tell of a secret cave on the
west side of Hyrule Castle!

There are many who've tried to get in
through the cave to hunt for treasure,
but there are none who have returned!"
30,RetMSG_Rane_03,"やあ冒険者！

城下町の裏にある入り江から
ハイラル城内に侵入できるという情報がある！
だが あくまでも噂だ！
盗賊を一網打尽にするガセネタかもしれん！","Hey there, adventurer! I've got a little
information to share with you.

I've heard of a secret way into Hyrule
Castle. You can find your way in through
the inlet behind the castle town.
It's just a rumor, mind you. For all I
know, it's a story spread to catch out
thieves trying to break in."
31,RetMSG_Rane_03_1,"城下町の裏にある入り江から
ハイラル城内に侵入できるという情報がある！
だが あくまでも噂だ！
盗賊を一網打尽にするガセネタかもしれん！","I've heard of a secret way into Hyrule
Castle. You can find your way in through
the inlet behind the castle town.
It's just a rumor, mind you. For all I
know, it's a story spread to catch out
thieves trying to break in."
32,RetMSG_Rane_04,"冒険者よ！
旅先で鉱石を見つけたら採集しておくことだ！
鉱石は高く売れるから
それを元手に旅の装備を整えるといいぞ！","Listen up, adventurer! On your travels,
you may stumble across various kinds
of ore. I recommend you collect it!
Ore will fetch a good price if you sell it,
which makes it a nice way to afford some
of the pricier gear you'll find."
33,RetMSG_Rane_04_1,"旅先で鉱石を見つけたら
採集しておくことだ！
鉱石は高く売れるから
それを元手に旅の装備を整えるといいぞ！","On your travels, you may stumble across
various kinds of ore. I recommend you
collect it!
Ore will fetch a good price if you sell it,
which makes it a nice way to afford some
of the pricier gear you'll find."
34,SavedLv1_00,さすがは冒険者だな！助かったよ！,"An adventurer! And you've saved me!
How very appropriate!"
35,SavedLv1_01,ありがとう！君の腕前を見ることもできた！,"Thank you! It's so nice to see an
adventurer on an actual adventure!"
36,SavedLv2_00,ああ命拾いしたよ！,That was a narrow escape!
37,SavedLv2_01,"旅に危険はつきものとはいえ
かなりヤバかったよ！","They say a little bit of danger's all part of
the travel experience, but that was really
scary just now!"
38,SavedLv3_00,魔物の顔を見たら足がすくんだよ！,"My legs froze with fear when I saw
the danger I was in!"
39,SavedLv3_01,今のうちに この場を去った方がいいな！,"Now that things are a little bit safer
around here, I should get on my way."
40,Thanks00,お礼をしないとな！,"Thank you, O brave adventurer!"
