#,Title,JPja,USen
1,Atacked00,"うむ… 
馬の手当てもしないといかん",Hmm... I need to look after my horse.
23,Rest_02,"たまには雨も いいもんだ
落ち着いて ものを考えられるからのう…","Rain is nice every once in a while.
Listening to the sound of rainfall is a
nice way to calm yourself down."
24,RetMSG_Rane_00,"魔物に襲われかけたりもしたけれど
どうにか湿原の馬宿に辿り着いたわい
病人が いなけりゃ医者も ただの人…
心置きなく休むとしよう","It was rough going, what with all the
monster attacks along the way, but I
made it to Wetland Stable in one piece.
As long as no one needs any medical
attention, I can just relax and be a
normal person. I think I've earned it..."
25,RetMSG_Rane_00_1,"病人が いなけりゃ医者も ただの人…
心置きなく休むとしよう","A doctor with no one to care for is just
a regular person. I think I've earned
a rest..."
26,RetMSG_Rane_01,"万病に効くというネルドラのウロコはご存知か？
ラネール山の知恵の泉にあるらしい
その泉にはネルドラと呼ばれる
龍の姿の精霊がいるという言い伝えもある","I've been researching Naydra's scale,
some sort of miraculous medicine that
works against all kinds of ailments.
From what I've read, it can be found at
the Spring of Wisdom on Mount Lanayru.

The legends also spoke of a spirit there,
a spirit called Naydra that takes the form
of a dragon."
27,RetMSG_Rane_01_1,"万病に効くというネルドラのウロコは
ラネール山…知恵の泉にあるらしい
泉にはネルドラと呼ばれる
龍の姿の精霊がいるという言い伝えもある","Naydra's scale can cure any sickness.
You can find it on Mount Lanayru, at
the Spring of Wisdom, I hear.
The legends spoke of a spirit there—a
spirit called Naydra that takes the form
of a dragon."
28,RetMSG_Rane_02,"あんたはお若いから やり遂げそうだ…
いやなに ラネール山に登る話だ
万病に効くネルドラのウロコがあるらしいが
あの山の寒さは この歳には厳しすぎるわい","You're young and strong. Maybe you
could take up that challenge. I'm talking
about climbing Mount Lanayru.
Naydra's scale can cure any illness. I
don't know of any doctor alive who
wouldn't thrill at the prospect.
I'd do it myself, but that mountain is far
too cold for these old bones."
29,RetMSG_Rane_02_1,"ラネール山… あそこには
万病に効くという龍のウロコがあるらしいが
あの山の寒さは この歳には厳しすぎるわい","Naydra's scale can cure any illness. I
don't know of any doctor alive who
wouldn't thrill at the prospect.
I'd climb Mount Lanayru, but that
mountain is far too cold for these
old bones."
30,RetMSG_Rane_03,"わしは行ったことないが知恵の泉には
ネルドラという名の精霊がいるというぞ
その姿は ドラゴンにそっくりらしいが
どれだけ似ているのか怪しいもんだ","I've never been there myself, but they
say there's a spirit called Naydra at the
Spring of Wisdom.
They say it looks like a dragon, but like
I said, I've never been there myself,
so I wouldn't know."
31,RetMSG_Rane_03_1,"わしは行ったことないが知恵の泉には
ネルドラという名の精霊がいるというぞ","I've never been there myself, but they
say there's a spirit called Naydra at the
Spring of Wisdom."
32,RetMSG_Rane_04,"わしはこう見えても まあまあの医者でな
簡単な薬の作り方くらいは教えてあげられる
要するに虫と魔物の素材を混ぜるだけ
どんな薬ができるか いろいろ試してみるといい","I might not look it, but I'm a plum doctor.
Why, I can even teach you how to make
your own medicine. Nothing fancy, mind.
The basic idea here is to just mix up
insects with monster parts. Experiment
a little, and see what you end up with."
33,RetMSG_Rane_04_1,"虫と魔物の素材を混ぜたら簡単に薬が作れる
どんな薬ができるか いろいろ試してみるといい","Making medicine isn't too hard, once you
know the basics. Just mix up insects with
monster parts and see what happens."
34,SavedLv1_00,"ふぅ…何とか助かったわい…
最近の若者は じつに頼もしい","Well, I'll be. I survived! You young folks
nowadays certainly are a capable bunch."
35,SavedLv1_01,"またしても若者に助けられた…
どうもありがとう！","Rescued by a youngster, yet again.
Thank you kindly!"
36,SavedLv2_00,"物心ついた頃から見ているが
魔物には なかなか慣れんわい…","You know, I've been around them my 
whole life, but I just can't cotton to
monsters."
37,SavedLv2_01,"わしなんかのために
若いあんたが怪我したら もったいない…","Well, thank you, but it'd sure be a shame
if someone like you, in the prime of your
life, got hurt helping this old-timer."
38,SavedLv3_00,"あんた怪我はなかったか？
わしは なんとか大丈夫だ…","You aren't hurt, are you? I think I pulled
through all right."
39,SavedLv3_01,"医者のわしが患者になるところだった…
いやいや助けてくれてありがとう！","Imagine the irony—me, a doctor making
my rounds, almost wound up needing
one! Thanks so much for your help."
40,Thanks00,"これは せめてもの礼だ
受け取ってくれ","I don't have much to offer you, but
please, take this as thanks."
