#,Title,JPja,USen
1,"""0000""",極上ケモノ肉っス,Have some meat!
41,FirstTalk03,"あー…
もうちょっとだけ いいスか…
まぁ…
とにかく つらいんスよ…","Ah, come on... You have time for this,
don't you?

Things have been pretty rough out here."
42,GoodBye00,ありやっしたー！,Thanks!
43,GoodBye01,"ありやっしたー！
休憩してるの内緒っスよ","Thanks!
Don't tell anyone I'm taking a break, OK?"
44,Near00,らっしゃいませー,Welcome!
45,Near01,ふぅ…,Phew...
46,NearChallenge00,はぁ…,Hah...
47,RunRain00,雨っス,Rain...
48,Talk00,"お客さんのおかげで少し元気出たっスよ
また生の極上ケモノ肉 が入ったらお願いっス","Thanks to you, I'm feeling better. 
If you get ahold of some
raw gourmet meat, come see me."
49,Talk01,"…ちょっと休憩してるんス
店長には内緒っスよ","...I'm just on a little break here.
Don't tell my boss."
50,Talk02,"ここじゃ びしょぬれになるっスよ
馬宿の中へ どうぞっス","You'll get soaked outside. C'mon inside
the stable."
