#,Title,JPja,USen
1,Atacked00,"馬で逃げたいが
今はじっとしておくべきか…","I want to escape on horseback, but I'm
afraid to move from here."
14,MSG_Kyu_04,"俺は馬を骨まで愛している
そう言いたくなるほど馬が好きなんだ
骨で思い出したが雪深い山奥で
骨だけの馬に出会ったことがある
怖かったかって？
俺は別に怖い話をしているつもりはない
その骨の馬 じつにいい走りをしていたし
乗り心地も なかなかだったぞ","I love every little thing about horses.
I love their fur, the way they smell,
their bones even.
Speaking of bones, I once rode a horse
made of nothing but bones! No lie! It
was up in the snowy mountains.
Was I scared, you ask? Nope. I could
never be scared of a horse.

That bony horse ran really well, and it
was actually a surprisingly comfortable
ride."
15,MSG_Kyu_04_1,"雪深い山奥で出会った骨の馬は
乗り心地が思ったより良かったぞ","The horse made of bones that I rode up
in the snowy mountains was surprisingly
comfortable to mount."
16,Near00,ニンジン…,Carrots...
17,Near01,パラセールで馬に…,Paraglider? I wonder...
18,Near02,どう どう…,"Whoa, boy..."
19,Near03,機械馬などいない…,Mechanical horses? Bah!
20,Near04,ヒヒ～ン！,*neigh*
21,Rest_00,"馬の話ばかりで女房に逃げられた男に
何か用か？
そうだいいことを教えてやろう
覚えにくいけど がんばれ
始まりの台地の北西にあるサトリ山…
その東にあるサーディン公園跡の近くに…
王子様が乗ったら似合いそうな馬がいるぞ","I talk about horses so much that my wife
left me...for a horse.

But it's not all bad. Gives me more time
to talk about horses.

I heard that there's something special
near Satori Mountain northwest of
the Great Plateau.
To the east of the mountain, you'll find
Sanidin Park Ruins, and near there...
is a special horse fit for a king."
22,Rest_01,"雨でヒマだから馬のクイズでも出そうか

白い馬…""巨大な馬…""機械馬…骨の馬…
さてこの世界に実在しない馬は？
正解は いつかどこかで発表するし
もしかしたら すでに発表済みかもな","I'm bored and it's raining, so how
about I give you a little horse quiz.

White horse... Giant horse... Mechanical
horse... Bone horse... Now, which of
these horses doesn't exist in this world?
The answer will be revealed someday,
somewhere. It may even have already
been revealed to you."
23,Rest_02,"馬が降ってきやがったな…

言い間違えた！
雨が降ってきやがったな",It's raining stallions and mares!
24,RetMSG_Kyu_00,"最初に断っておくが俺から馬以外の話を
聞き出そうという考えは捨てろ
よく女の子は白馬の王子様がどうのこうのと
夢見心地で言い出すが…
俺は王子様なんて乗っていない白馬に
迎えに来てほしいと思ってる
ぶち栗毛黒…馬の体色は様々だけど
白い馬を見ると その度に思わず息を飲むよ","I'll tell you now, you'd best give up hope
of hearing about anything other than
horses from me.
Girls often talk dreamily about princes on
white horses or some odd nonsense...

But I couldn't care less about some
stuffy prince. Give me the white horse!

Pinto, chestnut, black... Horse coats
come in many different colors, but white
horses take my breath away."
25,RetMSG_Kyu_00_1,"ぶち栗毛黒…馬の体色は様々だけど
白い馬を見ると その度に思わず息を飲むよ","Pinto, chestnut, black... Horse coats
come in many different colors, but pure-
white horses take my breath away."
26,RetMSG_Kyu_01,"俺は人間と心を通わすのはヘタクソだが
馬となら うまくやっていける自信がある
馬となら ウマく…
ダジャレじゃないぞ たまたま偶然だ
馬を上手に乗りこなすには心を通わせること
そのためには乗馬の時間を増やすことだ
……

さっきのは ほんとに偶然だからな！","I'm terrible at communicating with other
people, but horses love me.

You can't expect a horse to ride hard for
you if you don't have a meaningful
connection with it.
Spending time with your horse is the
best way to establish a connection."
27,RetMSG_Kyu_01_1,"馬を上手に乗りこなすには心を通わせること
そのためには乗馬の時間を増やすことだ","You can't expect a horse to ride hard for
you if you don't have a meaningful
connection with it."
28,RetMSG_Kyu_02,"一日のうち3分の2は馬のことを考えて
残り3分の1は馬の夢を見る俺に何か用か？
そうだせっかくだから
野生馬の話をしてやろう
近づくと敏感に察知して逃げてしまう
じつにやっかいな馬が いるだろう？
ああいうのが じつは
すごく性能のいい馬なんだぞ","I spend two-thirds of every day thinking
about horses and the remaining third
dreaming about them.
Hey, did you know wild horses will run
from you if they sense you approaching?
It can be pretty frustrating.
But the ones that are hard to catch
usually perform the best."
29,RetMSG_Kyu_02_1,"近づくと敏感に察知して逃げ出す馬こそが
性能のいい個体だと覚えておけよ","Remember, wild horses that are quicker
to run from you are generally the best
performers."
30,RetMSG_Kyu_03,"俺にハイラル城の話を聞こうと思うのなら
それはお門違いだ
馬だ馬だ馬の話をしよう

野生馬も愛馬にしたら もはや家族同然
それも足が速くて背中に乗せてくれる家族だ
愛馬と決めたら馬宿に登録しておくことだ
ずっと付き合っていくためにもな","If you came to ask me about
Hyrule Castle, you're barking up
the wrong tree.
Horses, horses, horses.
That's all I care about.

Finding and taming a wild horse is like
adopting a new family member...
that you can sit on.
Once you register your horse companion
at a stable, it'll always be by your side.
Forever. Unless it dies."
31,RetMSG_Kyu_03_1,"野生馬も愛馬にしたら もはや家族同然
長く付き合うために馬宿に登録しておくことだ","Once you tame a wild horse, it becomes
family. Register it at a stable to make it
official."
32,RetMSG_Kyu_04,"俺に馬の話をさせると長くなるぞ？
馬の顔よりも長くなるから そのつもりでな
このくらは馬の背中にぴったり
俺の尻にもぴったりの自慢の馬具だ
手綱も とても握りやすく
しなやかで さばきやすい
野生馬を自分の馬として馬宿に登録すれば
くらと手綱を装着してくれるのは知ってるな？
話は以上
思ったほどは長くならなかった","If you get me started about horses, you'll
be here for a while. I can go on about
horses longer than a horse's face.
This saddle fits my horse's back
perfectly, and it also fits my rear end
perfectly. I'm mighty happy with it.
This bridle is easy to grasp, and it's
pretty elastic, so it's easy to handle.

When you register a wild horse at a
stable, they'll fit it with a saddle and
a bridle.
Well, that's all I have to say about that.
Didn't go on as long as I thought I
would."
33,RetMSG_Kyu_04_1,"野生馬を自分の馬として馬宿に登録すれば
くらと手綱を装着してくれるのは知ってるな？","When you register a wild horse at a
stable, they'll fit it with a saddle and
a bridle."
34,SavedLv1_00,何とか助かったようだな！,I'm saved!
35,SavedLv1_01,もう大丈夫みたいだな！,Looks like I'm gonna make it!
36,SavedLv2_00,助けてくれたのは…君か？,Did...did you save me?
37,SavedLv2_01,"魔物に襲われたら
馬で逃げるのが一番なんだが…","If you get chased by a monster, your
best chance of escape is on horseback."
38,SavedLv3_00,いざとなると何もできなかったよ…,"But when it came down to it, I just froze."
39,SavedLv3_01,俺の作戦は馬で逃げる…はずだった,"My plan was to escape on horseback.
But plans don't mean anything."
40,Thanks00,わずかだが お礼だ！,"It's not much, but please take this."
