#,Title,JPja,USen
1,"""0007""",行ってきます！,Off I go!
31,Npc_GerudoMilkflost_016,"お嬢ちゃんのおかげで
トビキリのヴァーイミーツヴォーイを作れたよ
悪いけどパクトに伝えてきてくれないかい？
最高のを作って待ってるってね…
なぁに… トビキリの酒があると言えば
アイツのことだ飛んでくるだろうさ","Thanks to you, I was able to make what
might be my best Noble Pursuit ever.

If it's not too much to ask, could you
please go tell Pokki that some of the best
Noble Pursuit is waiting for her here?
What? Trust me on this! Knowing her,
she'll come sprinting back the moment
she hears what you have to say."
32,Npc_GerudoMilkflost_017,"なんだって？

パクトがそんなことに？？

しかし なんとかしてやりたいが
氷がないことには アレは作れないんだよ…
氷室に行けば氷はあるが…
あたしゃ足が悪いし…","What'd you say?


Pokki's collapsed?


Hmm. I want to help her out, but I can't
make a you-know-what without ice.

There's ice at the icehouse, but my legs
aren't in the best shape for hauling ice..."
33,Npc_GerudoMilkflost_018,"最近来ないと思ってたら…

まさかパクトが
そんなことになってるとはねぇ
なんでこんな時に限って
氷を切らしちまうんだか…","I was wondering why I hadn't seen her in
a while. 

I had no idea she was in such a dire
situation.

Why'd I have to run out of ice at a time
like this?"
34,Npc_GerudoMilkflost_019,"本当かい？

そりゃ助かるよ
パクトはウチの上得意だからね
氷室はこの街の北にある

そこにいるアンチェってヤツに
事情を話せば氷を分けてくれるだろうよ
ただ アイツは早くに寝ちまうからね…

行くなら明るいうちだよ","Are you serious? You'll get it?
That'd be a huge help.

Pokki is my best customer, after all.
I wish I could get the ice myself...

Anyway, the icehouse is north of town.


Anche manages it, but I think if you 
explain the situation, she'll let you have
some ice.
You should know that she heads to bed
quite early. 

If you plan to go, you'll need to get there
while it's bright out."
35,Npc_GerudoMilkflost_020,"おっとお嬢ちゃん…

氷をかついで砂漠を越えて…
街まで来させるなんて その細腕には申し訳ない
街と氷室の途中にある遺跡の入り口までなら
あたしでも迎えに行けるから
そこまで氷を持ってきておくれ","Oh, young lady...


Carrying ice all the way through the
desert and then all the way to town?
I can't let that stand.
If you bring the ice to the entrance to
the ruins—between town and the
icehouse—I can take it from there."
36,Npc_oasis025_S02_001,悪いが ここまで氷を持ってきてくれんか？,"I'm sorry, but could you bring the ice
here to me?"
37,Npc_oasis025_S02_002,"おおーい！こっちだよ！
氷はここに持ってきておくれ！","Heeey! Over here! This way!
Bring the ice over here!"
38,Npc_oasis025_S02_101,"おぉ… これは間違いなく氷室の氷

これなら トビキリの
ヴァーイミーツヴォーイを作れるだろうさ
悪いけどパクトに伝えてきてくれないかい？
最高のを作って待ってるってね…
なぁに… トビキリの酒があると言えば
アイツのことだ飛んでくるだろうさ","Whoa. No doubt about it, that's
definitely ice from the icehouse. 

I'll be able to make a Noble Pursuit with
this. It may be the best I've ever made...

I've got one more favor to ask. Could you
go and let Pokki know? Just tell her the
best drink ever is waiting for her...
What? No, of course this will work.
Knowing her, if she hears a delicious
drink is waiting, she'll come running."
39,Npc_oasis025_S02_104,"氷も良い状態だね
サークサーク
これなら トビキリの
ヴァーイミーツヴォーイを作れるだろうさ
悪いけどパクトに伝えてきてくれないかい？
最高のを作って待ってるってね…
なぁに… トビキリの酒があると言えば
アイツのことだ飛んでくるだろうさ","Looks like the ice is in good shape.
Sarqso.

With this, I'll be able to make the
ultimate Noble Pursuit.

Sorry, but could you please let Pokki 
know? Tell her that I made the best one
ever and I've got it waiting for her...
Knowing her, she'll probably come
running when she hears that there's an
amazing drink with her name on it."
40,Npc_oasis025_S02_105,"ん？アンタは…
まあ…""氷さえ届けてくれたら誰だっていいさ","Hm? You're...
Well, whatever... I don't care who you
are, as long as I get my ice."
41,Npc_oasis025_S02_201,"氷はまだのようだね…

アンチェに頼めば氷をもらえるだろう
悪いが頼んだよ","It looks like the ice isn't here yet...


If you ask Anche, she'd probably let you
have some ice. Sorry to ask you again, 
but could you do this for me?"
42,near00,もうダメだ…,I'm done for...
43,near01,こっちだよ…,Over here...
