#,Title,JPja,USen
1,"""0001""",その珠は？,What's that ball?
39,Talk02,"この宝珠のことで ございましょうか？この宝珠は私たち一族が守るべきもの…『この宝珠に認められし者
古の加護をうけん』この言葉と共に祖母の祖母の… そのまた祖母の
ずっと前の祖母から守り続けてきた
我が家の家宝でございます…この言葉の意は まだわかりませんが
宝珠に認められし者とは… もしかしたら…","This... This priceless artifact here?
Is that what you want to know about?This is a Sheikah heirloom that we have
long protected.\""The hero, as chosen by the Sheikah
heirloom, will be gifted the blessing
of antiquity.\""With these words as our guide, we have
watched over this sacred artifact since
my grandmother's grandmother's time...
And even since HER grandmother's
grandmother's time before that!I cannot say that I entirely know the
meaning of these words. But now that
I think about it...
\""The hero, as chosen by the Sheikah
heirloom...\"" Could it be..."
40,Talk03,"私たちシーカー族は
長年 ハイラル王家に仕えておりました隠密一族
しかし 100年前の あの大厄災で
王家が滅び我々一族は散り散りとなりました
残念なことに
ガノンに忠誠を誓う者も少なくなく
彼らはイーガ団となりガノンに立ち向かう者を
次々と手にかけていきました…
リンク様が目覚められた今
彼らにとって リンク様は一番忌むべき相手…
どんな手を使っても
貴方様を狙ってくることでしょう…
何か私に
できることがあれば良いのですが…","We Sheikah have long served the
royal family of Hyrule in secret.

During the Great Calamity of 100 years
ago...the royal family was destroyed,
and the members of our tribe scattered.
Sadly, there were some who swore
allegiance to Ganon at that time.

They joined together as the Yiga Clan,
seeking out all who opposed Ganon...
cutting them down, one after another.
Master Link, now that you are awake,
you are surely the most formidable
opponent standing against them!
No doubt they will come for you,
employing whatever underhanded
methods they can devise...
Oh, but of course, if there's anything
I can do to help you, all you have to
do is ask!"
41,Talk04,わ… わ… わ…私のことで ございますか？,You... I... Me...You want to know my st-story?
42,Talk05,"え… と…
私は パーヤと申しまして…",Well... My name is Paya.
43,Talk06,"パ… パパイヤの種のような アザが
あることから パーヤと名づけられました…","Th-the reason I was named Paya
is because I have a birthmark
shaped like a papaya seed..."
44,Talk07,あの… それは…,Well... It's kinda...
45,Talk08,ご… ご武運を…,G-good luck...
46,Talk09,"大妖精様はこの村の祠の裏に
いらっしゃいます
大妖精様なら きっとリンク様の
お力になってくださるはずです","The Great Fairy resides behind the shrine
that overlooks this village. That is where
you should seek her.
You can put your trust in the Great Fairy.
I can't think of any reason she wouldn't
be happy to help you, Master Link."
47,Talk10,"ほ…他にも お役にたてることがございましたら
なんなりと お申し付けくださいませ","If th-there's any other way I can
be of service to you, please don't
hesitate to ask!"
48,Talk12,…リンク様…,Master Link...
49,Talk14,"こ… ここは本来村の者しか立ち入れませんが
リンク様なら大歓迎です
いつでも お立ち寄りください","N-normally only Kakariko villagers are
permitted inside...

But we'll gladly receive you whenever
you'd like, Master Link!"
50,Talk15,"大妖精クチューラ様…今はもう知る者は少なくなってしもうたが
ここはクチューラ様の加護の下に作られし村
クチューラ様の通力は守りの力…
訪ねておくと良いかもしれんの","The Great Fairy Cotera...Only a few remain who know this,
but this village was built under her
watchful eye.
The mysterious power of Cotera
is that of sacred protection...
I suggest you seek her out."
51,Talk16,リンクよ…そのぐらいに しとかんか…,"Um, Master Link...I advise you to change the subject."
52,Talk17,"リ… リンク様こ… このような時間に どうかされましたか？
魔は暗闇と共にやってまいります
どうか お気を付けくださいませ","M-Master Link!Wh-whatever is the matter at this hour?
Dark magic preys upon the land when
darkness falls...
Please, promise to take care!"
53,Talk19,"リ… リンク様？！
こ… こんな時間に何事でございましょう？","P-please don't frighten me like that!
Do you need something from me at
this hour?"
54,Talk20,"ひ…日々の出来事を
記しているだけでございます
そ… それだけでございます","I'm just j-jotting down some thoughts...
Just my boring daily affairs and such.
Really! Th-that's all it is!"
55,Talk21,"わ…私は祖母の代わりに宝珠を磨き
道祖神様のお世話をし
民に…村に災いが降りかからないよう
日々祈っております
…気が付けば
東の空が白んでいることも しばしば…
しかし皆のためと思えば
眠ることなど惜しゅうございます","I'm seeing to the upkeep of the heirloom
in Grandmother's stead...p-paying tribute
to our guardian deities.
I spend my days praying so that no
disaster befalls the people or the village.

When I finish and take a look around,
it's already almost sunrise again...

But that's OK! I always remind myself
that I'm doing this for the sake of
our people!
Compared to that, sleep seems
inconsequential."
56,Talk22,"リ… リンク様こ… ここはパーヤの寝屋でございますよ
お… お早く お引き取りくださいませ","M-Master Link!Th-this is my private bedroom!
Kindly take your leave!"
57,Talk23,"ひぃぃ…

パ…パーヤの顔なぞみても
何もついておりませんよ…
も… もしや
この紋章のことで ございましょうか？
こ… これはシーカー族にとって
魔除けのようなものなのです
長の血筋のものは その証として
この紋を肌に刻むのが習わしなのでございます","Wh-wh-what?! There's something on
my face? What are you speaking of...

Oh! Are you perhaps referring to
this crest?

This symbol is a sort of talisman for
the Sheikah. It wards off evil.

It is customary for those with a long
Sheikah lineage to have this crest inked
onto their skin to honor their past."
58,Talk24,"もう夜明けも近うございます
お体に障ります お早く床にお着き下さい","It's almost dawn. If you haven't slept yet,
you really should... Staying up late can't
be great for your health."
59,Talk25,ダダダダメでございます！,You m-m-mustn't!
60,Talk26,"そ… それは単なる私めの日記でございます
お… おさわりになりませんよう","It's nothing more than a s-simple journal
where I jot down my personal thoughts.
Please don't trouble yourself over it."
61,Talk29,"い… いつか必ず お答えいたしますので
も… もう少し お時間をくださいませ…","I'll answer you some d-day...
Just...just not today!"
62,Talk30,宝珠の手入れが ありますので…,I must protect the heirloom...
63,Talk32,も… もう よろしいでしょうか？,Is that...OK with you?
64,Talk33,"リンク様… どうかなさいましたか？
このパーヤに何かご用でございましょうか？","Oh! It's you, Master Link.
Please don't sneak up on me like that...
Is something the matter?
Do you need something from me?"
65,Talk34,"道祖神様に祈りを捧げていたのでございます道祖神様は私たちを導いてくれる道しるべ
リンク様の進むべき道は我らの進むべき道…
パーヤにできるのは
このぐらいしかありませんので…","I was just polishing the guardian deities.These deities are like signposts that
guide us through our lives.

Master Link, I want you to know that the
path you are walking down is one we
should all follow.
I...I'm afraid doing stuff like this is the
only thing I can do to help you..."
66,Talk35,"リンク様…
これからお出かけですか？
魔は闇とともに やってまいります
夜道にはどうか お気をつけて…","Link...are you leaving now?


Darkness and evil are oft bedfellows.
Beware the roads at night..."
67,Talk37,"わ…私は祖母の代わりに宝珠を磨き
道祖神様のお世話をし
民に…村に災いが降りかからないよう
日々祈っておりました
…気が付けば
東の空が白んでいることも しばしば…
しかし リンク様のおかげで
宝珠のお役目も おわりましたので
以前よりは
ゆっくりできるようになりました","I'm seeing to the upkeep of the heirloom
in Grandmother's stead...p-paying tribute
to our guardian deities.
I spend my days praying so that no
disaster befalls the people or the village.

When I finish and take a look around,
it's already almost sunrise again... 

But thanks to you, the heirloom has
finally fulfilled its sacred purpose!
I can relax a bit more now that it's gone."
68,Talk38,"宝珠がなくなり
少しだけ さびしゅうございますが
リンク様の お役にたてて
心はとても すがすがしゅうございます
今後とも パーヤのできることでしたら
何でも お手伝いさせていただきます！","It's a little lonely here now that the
Sheikah heirloom is gone...

Still, I'm so happy it was of use to you.


From now on, if there's anything I can
do for you, please promise you won't
hesitate to let me know!"
69,Talk39,パーヤには ご興味がありませんか…,You don't want to talk to me?
70,Talk40,"ひ…左のおし…
お… おし…","It's on my l-left... Well...
*ahem*"
71,Talk41,左の尻の真ん中じゃ！,"It's smack in the middle of her
left butt cheek!"
72,Talk42,お… お… お…お婆様！！！！,!!!GRANDMOTHER!!!
73,Talk43,"うう…
他にも まだ何かパーヤに ご用でしょうか？","Oh, dear... I... Um... Is there anything
else I can h-help you with?"
74,Talk44,"雨が嫌いだという人もいます…

しかし雨は作物をはぐくみ
その音は人の心を落ち着かせてくれます
雨は すべての恵み…
パーヤは雨の日が楽しみでならないのです","There are those who hate the rain...
I don't understand that.

It nourishes all plant life, and its sound is
soothing to the hearts of all.

I am thankful, even for the rain.
It is truly a blessing."
75,Talk45,"リ… リンク様
そ… そのような破廉恥なお姿…
な… なにか お羽織りくださいませ","M-Master Link!
Th-that immodest outfit is quite
unbecoming of a hero like you.
P-please cover yourself up this instant!"
76,Talk46,"宝珠の手入れは大変でしたが
なくなると さみしいものですね…","Oh, it was always trouble taking care of
the Sheikah heirloom. But...I've grown
quite lonely now that it's gone..."
77,Talk49,"ほ…""他に…","And, well...in any case..."
78,TerrorArrow,お おやめください！,P-please stop!
79,TerrorBomb,恐ろしゅうございます,You're scaring me!
80,TerrorExplosion,リ リンク様！！,M-Master Link!
81,TerrorFire,あ熱うございます,S-sweltering!
82,TerrorSword,ひぃ！,Calm down!
83,talk02,"はぁ… リンク様…パーヤが いたらなかったばかりに
宝珠が…宝珠が…","Oh...Master Link...Because I wasn't there...the heirloom...
Our precious Sheikah heirloom..."
84,talk03,"えっ！では あの宝珠は
無事に お役目を果たしたのですね","What?!Oh... So that means the heirloom...
has finally fulfilled its purpose."
85,talk04,"よかった…どういった形であれ私達の守ってきたものが
リンク様のお力になれたのであれば
これほどうれしいことはありませんこれからもリンク様に
古の神々の ご加護がありますように…","Thank goodness!It doesn't matter how it happened,
so long as the object we have guarded
preciously for generations...
So long as it was able to help you out in
some way, I couldn't be happier!I pray that the protection of the gods
of old follows you wherever you go..."
