#,Title,JPja,USen
1,Atacked00,どうしたらいいの私たち…,What should we do...
26,RetMSG_Firo_02,"フィローネの森は うっそうとした森林地帯で…
そこには龍の口と呼ばれる湖があるそうです
冒険家の方から聞いた情報なんですけど
誰かに話したくて ウズウズしてたんですよ","Faron Woods is really, really thick.
I've also heard of a lake there called...
\""Mouth of the Dragon\"" or something...
I heard this tidbit from another
adventurer, and I just couldn't wait to
share it!"
27,RetMSG_Firo_02_1,"フィローネの森は うっそうとした森林地帯で…
そこには龍の口と呼ばれる湖があるそうです","Faron Woods is a densely wooded area...
There's a lake there called \""Mouth of the
Dragon,\"" or something..."
28,RetMSG_Firo_03,"冒険は初心者の私ですが
馬宿で いろいろな冒険家の話を聞きました
フロリア湖には数多くの滝があるそうです
私…滝の裏側が大好きなんです","I'm still a novice when it comes to 
adventuring, but I do hear lots of stories 
from adventurers at the stable.
Like...Lake Floria has several waterfalls
in the area! You know...I've always liked
the idea of going behind a waterfall."
29,RetMSG_Firo_03_1,"フロリア湖には数多くの滝があるそうです
私…滝の裏側が大好きなんです","Lake Floria has many waterfalls.
I want to go behind one..."
30,RetMSG_Firo_04,"私はこれから西のフィローネの森を経由して
高原の馬宿に向かう予定です
冒険初心者なのでもうドッキドキです…","I plan to go to the Highland Stable via
Faron Woods in the west.

I'm still a novice adventurer, so I'm really
excited!"
31,RetMSG_Firo_04_1,"私はこれから高原の馬宿に向かう予定です
冒険初心者なのでもうドッキドキです…","I plan to head for Highland Stable. I'm
still a novice adventurer, so I'm really
excited!"
32,SavedLv1_00,なぜか魔物に襲われがちな私…,"I get attacked by monsters for some
reason..."
33,SavedLv1_01,安全な冒険って ないものかしら…,"Is there no such thing as a nice, safe 
adventure?"
34,SavedLv2_00,"怖かった…
でも あなたがいてくれてよかった…","That was really scary...
I'm glad you were around."
35,SavedLv2_01,"ああ怖かった…
でも もう大丈夫でしょ？","Oh, that was scary... But everything is
gonna be all right now, right?"
36,SavedLv3_00,"助かったの？助かったのね？！
どうもありがとう！","I'm alive?! I'm alive! And you saved me?
Thank you so much!"
37,SavedLv3_01,"…魔物は？
ああ助かったのね！ありがとう！","The monsters... Where are the...
Oh, I'm saved! Thank you!"
38,Thanks00,"これは お礼です
せめてもの…","Here, take this in thanks..."
