#,Title,JPja,USen
1,Atacked00,どうどう…馬の興奮を抑えないと…,"Whoa... Whoa... Gotta calm my horse
down somehow..."
25,RetMSG_Firo_00_1,"アンタ巨大な馬の噂を聞いたかい？
はるか西のオブババ草地に現れるって話だぜ！","Have you heard the rumors about the 
giant horse?! They say it appears way
out west in the Taobab Grassland!"
26,RetMSG_Firo_01,"ヒーハー！いいこと教えてやる！

首の辺りから馬に乗ると
なんだか曲芸みたいで カッコいいゼ！","Yee-haw! Let me teach you something!


You'll have to do a really sweet acrobatic
move if you try to mount a horse from
the front. So cool!"
27,RetMSG_Firo_01_1,"首の辺りから馬に乗ると
なんだか曲芸みたいで カッコいいゼ！","Have you done the really sweet acrobatic
move where you try to mount a horse
from the front? So cool!"
28,RetMSG_Firo_02,"ハハハ！こいつは馬のくせに
なかなかの情報通でね！
西の方に広がるフィローネの森の奥深くに
龍の形をした湖があるって馬が言ってるぜ！","Hahah! Whoa there!
You're really well-informed for a horse!

He's saying that deep in the woods of
Faron, to the west, is a place sometimes
called the Mouth of the Dragon."
29,RetMSG_Firo_02_1,"西の方に広がるフィローネの森の奥深くに
龍の形をした湖があるらしいぜ！","Deep in the woods of Faron, to the west,
is a place sometimes called the Mouth
of the Dragon..."
30,RetMSG_Firo_03,"ヒーハー！いいこと教えてやる！

馬によって大きさも体力も違う！
自分に合った馬を所有馬にすることだ！","Yee-haw! Let me teach you something!


Horses vary in size and strength! Find
one that suits you and make it your own!"
31,RetMSG_Firo_03_1,"馬によって大きさも体力も違う！
自分に合った馬を所有馬にすることだ！","Horses vary in size and strength! Find
one that suits you and make it your own!"
32,RetMSG_Firo_04,"いよう！俺はホレッソン！馬もホレッソン！
おまえもまさか ホレッソン？
知ってるか？馬を走らせるときには
体力をちゃんと見たうえで鞭を入れるんだぜ？","Yahoo! My name is Spinch! My horse 
is also Spinch! Is your name Spinch,
too? That'd be extra crazy...
Here's a tip. Pay close attention to how
much stamina your horse has when
you're riding it really hard!"
33,RetMSG_Firo_04_1,"知ってるか？馬を走らせるときには
体力をちゃんと見たうえで鞭を入れるんだぜ？","Listen, you gotta pay close attention to
how much stamina your horse has when
you're riding it really hard!"
34,SavedLv1_00,助かったよありがとうな！,Thanks! That was really close!
35,SavedLv1_01,俺も無事！馬のホレッソンも無事だ,"I'm all right! My horse, Spinch, is
all right too!"
36,SavedLv2_00,あんたのおかげさありがとうな！,I can't thank you enough!
37,SavedLv2_01,魔物めおぼえてやがれ…,"Damned monsters. Thinking they can just
attack without a care..."
38,SavedLv3_00,…そっちこそ大丈夫だったか？,Never mind about me—are you OK?
39,SavedLv3_01,くたばるかと思ったぜ…,I thought I was a goner for sure...
40,Thanks00,礼を渡さないとな,Oh! I should give you something.
