#,Title,JPja,USen
1,"""0000""",する！,I'll do it!
15,Npc_Kokiri008_R_Talk030,"やすうけあいしないオヌシ…
用心深いじゃも！
コログしれんとは！コログの森に眠る祠をめぐれば
イチニンマエになるという修行じゃも！
デンセツのゆうしゃサマに ならって
コログのみんなもやる儀式じゃも
ワシもボックリンも アイツも コイツも
デクの樹サマも やったんじゃも！
…後半ウソじゃも","Ah, you need to think about it first...
Wise boy...

The Korok Trials!Long story short—you need to visit all
the shrines in the Korok Forest so that
you can be considered a real grown-up!
It's a ceremony that every Korok must
undertake, and it's based on the trials of
the legendary hero himself!
I've done it...and so has Hestu...and him
over there, and her too, and even the
Great Deku Tree himself has done it!
OK...that last part was a lie.
He's pretty rooted."
16,Npc_Kokiri008_R_Talk040,"しないのじゃも？！なんでじゃも？
もったいないじゃも！
今なら ボックリンの踊り練習失敗エピソードを
こっそり教えてやるじゃも！
興味なしな顔じゃも…
諦めるじゃも…","You don't want to do it?! Well, why not?!
Don't let this opportunity go to waste!

If you do it, I'll tell you all about the time
Hestu fell flat on his face while dancing!
Even though I promised I wouldn't!
You don't seem interested...
*sigh* I give up..."
17,Npc_Kokiri008_R_Talk500,ひとーーーーつ！,Trial one!
18,Npc_Kokiri008_R_Talk510,南西にある『操りの力のしれん』！,"In the southwest forest:
Trial of Second Sight!"
19,Npc_Kokiri008_R_Talk520,ふたーーーーーつ！,Trial two!
20,Npc_Kokiri008_R_Talk530,北西にある『はじめてのしれん』！,"In the northwest forest:
The Lost Pilgrimage!"
21,Npc_Kokiri008_R_Talk540,みーーーーーーっつ！,Trial three!
22,Npc_Kokiri008_R_Talk550,東にある『燃えずのしれん』！,"In the eastern forest:
The Test of Wood!"
23,Npc_Kokiri008_R_Talk560,"全ての しれんを制覇し
立派な勇者を目指すじゃも！
ついでに豪華賞品も用意してるじゃも！欲にまみれてもよし！
使命に燃えてもよしじゃも！","If you can overcome the Korok Trials,
you can overcome anything!

We've also prepared some wonderful
prizes for you!Now show us what you're made of!"
24,Npc_Kokiri008_R_Talk570,"よし がんばれじゃ…も……？もう すべてのしれんを
終えているじゃも？！
ひゅーひゅー！すごいじゃも～！
かっこいいじゃも～！","All right, do your be—st...You've already completed all of the
trials?!

*whistle* 
That's amazing! You're so cool!"
25,Npc_Kokiri008_R_Talk580,で するじゃも？,Well? Will you do it?
26,Npc_Kokiri008_R_Talk590,よし がんばれじゃも！,All right! Do your best!
