#,Title,JPja,USen
1,"""0000""",弟？,Brother?
20,Goron_Father_Talk11,"マルゴ坑道はマルゴ池の南西にある
捨てられた坑道だゴロス
奥に硬い岩盤があって ずいぶん昔に
掘るのをやめた坑道なんだゴロス
その岩盤の先には
勇者の秘密が隠されているらしいゴロスが…","Gorko Tunnel is an abandoned spot
southwest of Gorko Lake.

The bedrock's insanely hard in that area,
so we gave up diggin' there ages ago.

They say the secret of the hero lies
hidden beyond that bedrock."
21,Goron_Father_Talk12,"ここから出た坂の下にある トロコ崖に
ロース岩が ゴロンゴロンしてるんでゴロス
それを取ってきてほしいんでゴロス","Exit here and head down the hill to
Gortram Cliff. There you can find
rock roasts rollin' around.
I need ya to please grab one of 'em
for me."
22,Goron_Father_Talk13,"自分で行きたいのは やまやまでゴロスが…
持病のゴロン肩が ヒドイんでゴロス
あんたを見込んで お願いするでゴロス！！","I'd like more than anything to go there
and get it myself. It's just...

Well, I have a chronic condition. Yeah.
It's called Goron shoulder. Very serious.
I'd rather not talk about it.
Needless to say, I expect a lot from you!
Please don't let me down!"
23,Goron_Father_Talk14,"オレの自慢の弟… ゴングロンだゴロス！

勇者の秘密を掘り当てる… なんて言って
飛び出していったんだゴロス！
弟は一体何を考えてるでゴロス…","My little brother, Gonguron.
I'm really proud of him, but...

He said he was gonna go dig up
the secret of the hero, and then
he just took off!
I really don't know what in the world
got into him..."
24,Goron_Father_Talk15,"家出するなら勇者の秘密を掘り当てる…
なんて言って飛び出さないでゴロス！
弟は一体何を考えてるでゴロス…","No way! If you're gonna run away,
you wouldn't first tell your bro you're
gonna dig up the secret of the hero!
What in the world is goin' on with
that kid..."
25,Goron_Father_Talk16,"弟はマルゴ池の南西にある
マルゴ坑道に向かったはずゴロス
硬い岩盤があって ずいぶん昔に
掘るのをやめた坑道なんだゴロス","I'm certain my little brother went off to
Gorko Tunnel, southwest of Gorko Lake.

The bedrock in that tunnel is incredibly
hard, so us Gorons gave up tryin' to
dig it out ages ago."
26,Goron_Father_Talk17,"ロース岩を持ってきたら
この鍋の中に ドーンするゴロス","Once you've secured a rock roast,
just drop it right into this pot.
BOOM. Just like that."
27,Goron_Father_Talk18,"でもきっとサボりの言い訳ゴロス！！
弟にはもっとしっかりして欲しいでゴロス…！！","But I know better. It's just an excuse for
him to slack off and dream his life away!
I really wish he'd grow up a little..."
28,Goron_Father_Talk20,"マルゴ池の南西にマルゴ坑道という
捨てられた坑道があるんでゴロス
奥にある硬い岩盤の先には
鉱石じゃなくて勇者の秘密が隠されている！
…という
ホントかウソかわからない話でゴロス
オヤジの いとこの はとこの
お隣さんから聞いたんだゴロス","Southwest of Gorko Lake, there's an
abandoned spot called Gorko Tunnel.

Behind that hard bedrock, there lies not
just ore...but the secret of the hero!

...Or so the legend goes. True or not,
it makes for a good story.

I heard it from my dad's cousin's
neighbor's uncle."
29,Goron_Father_Talk21,"待ってたゴロス！
早速鍋に置くでゴロス！","Finally! I've been waitin' on ya! Go on— 
drop the roast in the pot. Quickly!"
30,Goron_Father_Talk22,"勇者の秘密は
古くからうちに伝わる おとぎ話だゴロス
オレのオヤジの いとこの はとこの…
お隣さんから聞いたんだゴロス","The secret of the hero is a fairy tale
of sorts, passed down from Goron to
Goron for ages.
As for me, I heard about it from my
dad's cousin's neighbor's uncle."
31,Goron_Father_Talk23,"わ… わかったって
弟が何を考えてるのか わかったゴロスか？！
オレには弟の心は わからないでゴロス…
兄として さびしいでゴロス…","You...understand?! You understand what
my little brother is thinkin'?

I'm his brother, and I don't understand him at all...
Makes me feel lonely..."
32,Goron_Father_Talk24,"夢を追うより現実を見て
みんなの仕事を手伝ってほしいでゴロス…","Instead of chasin' dreams, I'd prefer to
see him face reality and help us out with
our important Goron work..."
33,Goron_Son_Near01,勇者の秘密だゴロン！,It's the secret of the hero!
34,Goron_Son_Near02,早く食べたいゴロン,I need to eat soon!
35,Goron_Son_Talk01,"あ ほって ほって ほりぬいて！
秘密を見つけるゴロン！ ゴロン！
何をほっているかゴロン？！
秘密だゴロン！！！","Dig, dig, dig! Alls I wanna do is dig!
I won't stop 'til I find the secret!

What am I diggin' for? I told ya!
It's a secret!!"
36,Goron_Son_Talk02,"ゼェゼェ… もうダメだゴロン…

この岩の奥に
勇者の秘密があるんだゴロン…
その秘密を見つけたら
ボクもきっと立派になれると思ったんだけど…
でも もう力が出ないゴロン…
おなかが カランコロンだゴロン…","*cough* *wheeze*
Phew! I'm spent.

To think that somewhere behind all this
rubble is the secret of the hero...

I know I'll become really great and
important if I can find it!

My only problem is that I don't have the
strength to go on. My belly's empty
and rumblin' like mad! What to do..."
37,Goron_Son_Talk02b,もう腕が上がらないゴロン…,"Too hungry... Can't lift my arms
anymore..."
38,Goron_Son_Talk04,"ウマイゴロン！
ウマイでゴロン！！
この硬度！ アゴに響く歯ごたえ！
ジャリジャリの喉越し！
圧縮された鉱物のうまみが
強火で熱せられて…口の中が大噴火ゴロン！
ボクは今 デスマウンテンになったゴロン！
ゴロン ゴロロロン！！","Yummy! Delicious! Incredible!


That texture! That crunch! Ooooh,
and that gritty feeling as it glides
down my throat!
OH! Yes! Can't forget that savory flavor
of condensed minerals seared in high
heat to perfection! It's a taste explosion!
It's restoring my strength! I'm like a
phoenix reborn and ready to fly!
In fact, I AM Death Mountain!!"
39,Goron_Son_Talk04_1,"んっ…？！
これはデリシャス焼きロース岩の香り…","Hm? Am I hunger-hallucinating,
or do I really smell deliciously
grilled rock roast?!"
40,Goron_Son_Talk04_2,"おおこれは！！ うまそうだゴロン！
早速いただきますゴロン！！","Look at this! It looks so tasty! I NEED to
eat it right away!"
41,Goron_Son_Talk04_3,兄ちゃんの料理は最高でゴロン！！,"Your cookin' is the best of
the best, brother!"
42,Goron_Son_Talk04_4,"おなかいっぱいになったゴロン
さあ！ やるゴロン！","Now I'm full and my belly is happy!
Let's do this!"
43,Goron_Son_Talk05,フオオオォォ！！,Graaaarghhh!
44,Goron_Son_Talk05_2,ゴロンアターーーーック！！！！,"GORON POWER, GOOOO!!!"
45,Goron_Son_Talk06,"デタァァァ！！ ゴロン！！
勇者の秘密ゴロン！
…ん？ ゴロンシティでも
見たことあるような……","WOW! There it is! The hero's secret has
revealed itself to me!!

Weird... I feel like I've seen somethin' like this
before in Goron City..."
46,Goron_Son_Talk07,"アリガトゴロン！
ゴロンシティへ帰って みんなに報告だゴロン！","Thanks for your help, brother! Now I've
gotta get back to Goron City and tell
everyone about my triumph!"
