#,Title,JPja,USen
1,"""0000""",特に何も…,"Nothing, really."
32,talk24,はい それでは,Yes. See you later!
33,talk25,"ルッタの放水で
今にも湖があふれそうだったのですが
今は増水は ほぼ確認されなくなりましたゾラ","Ruta was spouting water, and the lake
was in danger of flooding... But now,
there's been no increase in water level!"
34,talk26,他に聞きたい事が ございますゾラ？,Is there anything else you'd like to ask?
35,talk27,"今東の貯水湖が決壊してしまったら
このゾーラの里は ひとたまりもないですゾラ…","If East Reservoir Lake were to burst,
Zora's Domain would be destroyed..."
36,talk28,"ルッタは俗称でして
正しくは神獣 ヴァ・ルッタと呼ばれてますゾラ
私の記憶では100年前 ミファー様が乗り込み
厄災と戦った神獣…
リンク様なら ご存知かと思いましたゾラ…","Ruta is its nickname. Its full and proper
name is the Divine Beast Vah Ruta.

If memory serves, 100 years ago Lady
Mipha rode inside of it...and used the
Divine Beast to fight the Calamity.
I would have thought you'd already know
that, Master Link..."
37,talk30,"しかし今回現れた神獣は
ただの洪水の元凶…
シド王子と セゴン様が一度
ルッタを止めに向かいましたゾラが
神獣を止めるには もっと電気の矢を
撃ち込まないといけない との事ゾラ
しかし いくら鬼のセゴン様と言えども
あれ以上電気の矢に触れ続けるのは…","However, now the Divine Beast is
causing terrible floods...

Prince Sidon and Seggin tried to stop
Ruta... But to stop the Divine Beast,
they needed more shock arrows.
No matter how much of a demon Seggin
seems...even he couldn't touch those
shock arrows for long enough."
38,talk31,"しかし一時の事を思えば
ルッタの放水も マシになったような…
セゴン様が電気の矢で
ルッタの動きを封じたのでしょうゾラか…？","Hmm, but Ruta's water spouting seems
to have subsided a bit...

Did Seggin manage to fire those
shock arrows after all?"
39,talk32,"しかし まだ油断はできませんゾラ
ルッタが貯水湖に居る限りは…","Still, you'd best not let your guard down.
As long as Ruta is in the reservoir..."
40,talk33,ところで私にご用ゾラ？,So did you need anything from me?
41,talk34,"そういえば同じく名前の最後が「ダ」である
カポーダ様が ここから出て行かれたゾラ
確かアッカレ地方に向かわれると
おっしゃってたゾラ
ミカウ湖やルル湖の滝を上れば
アッカレ地方には かなりの近道となるゾラが…","Oh, that reminds me! The Zora whose
name ends in \""son,\"" just like mine does,
has left the domain. His name is Kapson.
I believe he said he was heading to the
Akkala region.

Just climb the waterfalls at Mikau Lake
or Lulu Lake. That will offer you a pretty
decent shortcut to Akkala."
42,talk35,"あのお年で山越えとは
いやはや ご健在でなによりゾラ","Hmm, but for him to be crossing the
mountains at his age... Good gracious!
I'm glad he's in good health, at least."
43,talk36,"もしかして リンク様がカポーダ様を
誘ったゾラ？","Could it be that you're the one who
invited Kapson?"
44,talk37,"同じく名前の最後が「ダ」である カポーダ様が
ここからアッカレ地方に向かわれたゾラ
確かにミカウ湖やルル湖の滝を上れば
アッカレ地方には かなりの近道となるゾラ","The Zora whose name ends in \""son,\""
just like mine does, left for the Akkala
region. His name is Kapson.
Just climb the waterfalls at Mikau Lake
or Lulu Lake. I believe that will offer you
a pretty decent shortcut to Akkala."
