#,Title,JPja,USen
1,"""0000""",あげる,Take this!
25,Valetta_talk05,"は～
アナタのおかげで生き返ったわ…
サークサーク！

って あれ？
アナタ もしかしてこの前の？？
やっぱりヴォーイだったんだね…

ハイリアのヴァーイにしては
たくましいなって思ってたんだ
でも安心して アナタのことは
誰にも言わないから
だって私の命の恩人だものね

はぁ～ とりあえず疲れたし
私は もうちょっと休んでから帰ろうかな","Hah... I've returned from the brink of
death thanks to you...

Sarqso!


Huh? Is that you I spoke to before?
So you are actually a voe...

I thought you were a bit muscular for a
Hylian vai.

But don't worry, your secret is safe with
me. I owe you my life, after all!

Hah... Anyway, I'm totally exhausted.
Maybe I'll rest just a little longer then
head home."
26,Valetta_talk06,"えっ？

ってことは抜け出してること
バレちゃったってこと……？",Huh? So...they knew I snuck off...
27,Valetta_talk07,"ヤバイ ヤバイ ヤバイ…

やっぱり…先に戻ってるね
じゃあね サヴォーク！","...Oh, I am in such trouble...


Yep, looks like I'd better go on ahead.
See you later and sav'orq!"
28,Valetta_talk08,"は～
アナタのおかげで生き返ったわ…
やっぱりここに こんな姿で来るのは
無謀だったわ…
サークサーク！

アナタには ホント助けられっぱなしね

はぁ～ とりあえず疲れたし
私は もうちょっと休んでから帰ろうかな","Hah... I've returned from death's door
thanks to you...

I guess it really was reckless of me to
come here without the proper gear...

Sarqso!


Looks like you just keep saving me, huh?


Hah... Anyway, I'm completely spent.
Maybe I'll rest just a little longer and
then head home."
29,Valetta_talk09,"は～
アナタのおかげで生き返ったわ…
やっぱりここに こんな姿で来るのは
無謀だったわ…
…って アナタもよくそんな装備で
ここに来られたわね
はぁ～ とりあえず疲れたし
私は もうちょっと休んでから帰ろうかな","Hahh... I've come back from the brink
thanks to you...

I guess it really was reckless of me to
come here without the proper gear...

...But you don't seem to have the proper
gear, either. It's kind of amazing that you
even made it here to be honest.
Hahh... Anyway, I'm absolutely beat.
Maybe I'll rest just a little longer and
then head home."
30,talk00,"やっぱり隠し切れなかったかぁ…

この街から南西の方にある巨大化石には
妖精が住んでるって噂があってな…
バレッタが好きそうな話だとは
思ってたんだが…
なんせあの辺りはモルドラジークの住処だし
まさか1人で行くとは…","I guess I can't sit on this any longer... 


There's a rumor that a fairy lives in the
leviathan bones southwest of town...

I thought it was something that Barta
might be interested in...

But that area is also known as the home
of the Molduga... 

Going there alone would be 
unthinkable..."
31,talk01,"ランジェ先輩怒ってるな～
そりゃ怒るよな…
この前もバレッタちゃんのことで
チーク隊長に散々怒られてたからな…
でも一応私は止めたんだぞ！

あそこは極暑地帯だから
行くならしっかり装備しろよって…","Great, now my senior officer Liana is
steamed at me... Well, as she should be,
I guess...
I got in trouble over something related to
Barta with our squad leader, Teake,
before as well, and she was really mad...
But I did kind of try to sort of stop her, 
you know!

I told her it was a region of extreme heat
and that she should equip herself
appropriately if she was going there..."
32,talk02,"おお！勇気あるヴァーイよ！

バレッタから聞いたぞ！
お前が見つけてくれたんだってな！
なんでも ヴォーイのごとく
頼もしかったと言っていたぞ！
お前がゲルドのヴァーイなら
ぜひともウチの隊に来てほしいものだよ！
ともかく これで私も なんとか
隊長にとがめられずにすみそうだ！
疲れただろう？ これは礼だ！
市場で好きなモンでも買ってくれ！","Oh! What a courageous vai! I heard
from Barta! She said you found her!

I told her you were as dependable as a
Champion! If you were a Gerudo vai,
I'd want you in my troop!
Anyway, close one, huh? Looks like I got
out of this without getting chewed out by
our troop leader!
You must be worn out, right? Here, take
this as thanks! Buy yourself something
nice in the market!"
33,talk03,"さすがに今回ばかりは
バレッタちゃんも反省したみたいだな…
まったく いい迷惑だよ

でも こういうほっとけないヴァーイが
ヴォーイには人気らしいぞ
私にはまったく理解できんがな","Well, it looks like Barta at least feels
bad about what happened this time...
What a mess, though.
And you know the worst part? Even a vai
like Barta, who's all over the place, is
popular with the voe. 
I don't get it."
34,talk04,"…よく考えたら
あの砂漠を渡り切ったって すごいよな
もしかして バレッタちゃんって…
とてつもなく強いのかも…","...If you think about it, making your way
across the desert like that is really
pretty impressive.
I wonder if that means Barta is actually
really strong..."
35,talk05,"アナタが来てくれた時一瞬運命のヴォーイが
助けに来てくれたのかと思っちゃった
そういえば ヴォーイハントに出てった
ペディ姐さん…運命の人には出会えたかなぁ… 
私もほとぼりが冷めたら
ヴォーイハントにでも出かけようかなぁ…","When you showed up, I thought for a
second that maybe the voe of my dreams
had come along.
Speaking of which, I wonder how things
are going for that voe-crazy Perda...
I wonder if she's met the one yet...
Maybe once everyone forgets how in
trouble I am, I should head out and look
for my special someone..."
36,talk06,"アナタが来てくれなかったら

運命のヴォーイに出会う前に
永遠にサヴォークしてたところだったよ…
本当にサークサーク

そういえば ヴォーイハントに出てった
ペディ姐さん…運命の人には出会えたかなぁ… 
私もほとぼりが冷めたら
ヴォーイハントにでも出かけようかなぁ…","If you hadn't come along when you did...


I would have had to say my eternal
sav'orq before I'd even met the voe of
my dreams...
From the bottom of my heart, sarqso.


Speaking of which, I wonder how things
are going for that voe-crazy Perda...
I wonder if she's met the one yet...
Maybe once everyone forgets how in
trouble I am, I should head out and look
for my special someone..."
37,talk08,…あっ！！,ARGH!
