#,Title,JPja,USen
1,"""0000""",怪しい場所？,A suspicious place?
25,Talk19,"高台の奥にある アソコの辺りが
怪しいんだけどな… なぜ見つからないんだ…","The area beyond that elevated bit of land
is suspicious...but why can't I find the
Great Fairy Fountain?!"
26,Talk20,"絶景を見たい気持ちは
誰にも負けないつもりなんだが…
体がついていかないんだ…
こうしてる今も膝が笑ってるよ…","My desire to view beautiful landscapes
is stronger than anyone else's.
Ever, I'm pretty sure.
But my body just can't handle the
groundwork... Even now, my knees
are trembling."
27,Talk21,"ん？ キミは…？
失礼だが キミも旅をしているのかね？
私は絵が趣味でね
美しい風景を求めて旅をしているんだ
実は この村の近くに それはそれは美しい
大妖精の泉というのがあるらしくてね
その泉は美しいだけでなく
不思議な力を与えてくれるという…
しかし詳しい事は
誰も教えてくれないんだよ…
ここの人達は この村から出ようとしないから
私みたいな旅好きは変わり者扱いでね…
でも私はあきらめない！
もし何かわかったら キミにも教えるよ！","Hm? Are you... Sorry to bother you,
but are you a fellow traveler?

As for me, I just looove art. In fact,
I'm traveling the world in search of
beautiful landscapes.
Just between you and me...


I hear there's a Great Fairy Fountain
somewhere near this village. I hear
it's breathtakingly beautiful.
Aesthetics aside, they also say the place
can bestow some kind of mysterious
power on people...
However, since I'm an outsider, I can't
get anyone to tell me any more details
than that.
These villagers never leave the safety of
their village, so travelers like me are
treated with suspicion.
But I won't give up! Oh, and if I manage
to find out anything, I'll be sure to let
you know."
28,Talk22,"この村の近くに それはそれは美しい
大妖精の泉というのがあるらしいんだ！
その泉は美しいだけでなく
不思議な力を与えてくれるという…
しかし肝心の場所が わからなくてね…

でも私は あきらめない！
もし何かわかったら キミにも教えるよ！","They say there's a Great Fairy Fountain
somewhere in this village. I hear it's
utterly breathtaking.
Aesthetics aside, they also say it can
bestow people with mysterious powers!

It's too bad I just can't figure out the
exact location...

But I'm not gonna give up!
Oh, and if I find out anything,
I'll be sure to let you know."
29,Talk23,"私の旅は…
まだまだ… これか… ら… だ…",My journey...is on the horizon...
30,Talk24,"大妖精の泉は美しいだけでなく
不思議な力を与えてくれるという…
絶対 アソコが怪しいと思うんだが…
なぜ見つからないんだ…","The Great Fairy Fountain isn't just lovely,
they say it can bestow some kind of
mysterious power on people...
I'm pretty sure I know where it's hidden,
but still it eludes me..."
31,Talk25,"いや～
けっこう降ってきちゃったね
私は シーカー族の装束があるから大丈夫だけど
キミは そんな姿で大丈夫なのかい？
私は絵が趣味でね
美しい風景を求めて旅をしているんだ
ここだけの話なんだが…

この村の近くに それはそれは美しい
大妖精の泉というのが あるらしいんだ…
その泉は美しいだけでなく
不思議な力を与えてくれるという…
粘って調査した結果
怪しい場所は見つけたんだが…
なかなか泉にたどり着けなくてね…

絶景に出会えた時の感動…
キミも旅好きなら わかるだろう？","Wow. It's really coming down, isn't it?


I have my Sheikah gear, so I'm fine,
but are you going to be OK?
Hope so.
As for me, I just looove art. In fact,
I'm traveling the world in search of
beautiful landscapes.
Just between you and me...


I hear there's a Great Fairy Fountain
somewhere near this village. It's said
to be breathtakingly beautiful.
Aesthetics aside, they also say the place
can bestow people with some kind of
mysterious power...
I've been researching it for ages,
and I finally have a lead. There's a
place that is beyond suspicious...
The problem is, I can't seem to find
the fountain there.

*sigh* Nothing beats the thrill of tracking
down a perfect view. As a fellow traveler,
you understand the sentiment, right?"
32,Talk26,"雨の中 そんな恰好で大丈夫かい？
シーカー族の装束を貸してあげたいところだけど
この服は シーカー族しか
身に着けられない掟でね…
おお それよりも！
聞いてくれ！
あの後大妖精の泉の事を
自分なりに調べてみたんだが
やっと怪しい場所を見つけたんだ！

でも…
なかなか泉に たどり着けなくてね…
絵でもいいんだ…
どうしても見てみたいんだが…","Are you OK standing out in the rain?
If I could, I'd gladly lend you my
Sheikah gear...
Thing is, there's a strict rule about only
the Sheikah being allowed to wear it.

Anyhoo, guess what!


I've done a bit more research regarding
the Great Fairy Fountain, and I finally
found a suspicious spot!
However...it's really hard to get there.
Honestly, I'm not sure I can do it.

*SIGH* Even if it's just a picture,
I'm dying to see it..."
33,Talk27,"いや～ けっこう降ってきちゃったね

私は シーカー族の装束があるから大丈夫だけど
キミは そんな姿で大丈夫なのかい？
私は絵が趣味でね
美しい風景を求めて旅をしているんだ
実は この村の近くに それはそれは美しい
大妖精の泉というのがあるらしくてね
その泉は美しいだけでなく
不思議な力を与えてくれるという…
しかし詳しい事は
誰も教えてくれないんだよ…
ここの人達は この村から出ようとしないから
私みたいな旅好きは変わり者扱いでね…
でも私はあきらめない！
もし何かわかったら キミにも教えるよ！","Wow, it's really coming down, isn't it?


I have my Sheikah gear, so I'm fine,
but are you going to be OK?
Hope so.
As for me, I just looove art. In fact,
I'm traveling the world in search of
beautiful landscapes.
Just between you and me...


I hear there's a Great Fairy Fountain
somewhere near this village. I hear
it's breathtakingly beautiful.
Aesthetics aside, they also say the place
can bestow some kind of mysterious
power on people...
However, since I'm an outsider, I can't
get anyone to tell me any more details
than that.
These villagers never leave the safety of
their village, so travelers like me are
treated with suspicion.
But I won't give up! Oh, and if I manage
to find out anything, I'll be sure to let
you know."
34,Talk28,"この村の近くに それはそれは美しい
大妖精の泉というのがあるらしいんだ！
その泉は美しいだけでなく
不思議な力を与えてくれるという…
しかし肝心の場所がわからなくてね…

でも私はあきらめない！
雨が降ろうが雷に打たれようがね！
もし何かわかったら キミにも教えるよ！","They say there's a Great Fairy Fountain
somewhere in this village.

Aesthetics aside, they also say it can
bestow mysterious powers on people!

It's too bad I just can't figure out the
exact location...

But I'm not gonna give up! Not even if
it rains! Not even if it snows! Not even
if I get struck by lightning!!
Oh, and of course, I'll let you know if
I find out anything!"
35,Talk29,"この村を離れて もう何年もたつからね
調査も大変だったんだよ
しかも キミも気づいてると思うけど
この村の人は みんな同じ装束だろ？
間違って同じ人に
何度も聞いちゃったりしてね…
もともと変わり者と言われてたのに
今じゃ さらに不審者扱いだよ…
でも絶景を見れるなら不審者になるぐらい
私は全然平気だけどね
さあ もうすぐそこだ
天気も良くないし早く行こうじゃないか","It's been years since I've visited this
village, so it was hard to dig up info.

As you've probably noticed, the people
here all wear the same attire.

I made the mistake of asking the same
person the same thing multiple times.
Oops.
I was already a stranger to the village,
but now I'm a suspicious roamer to them.

But if it helps me track down a beautiful
landscape, I don't care what people
think of me!
Hey, we're almost there! The weather's
not so great, so we'd better hurry."
36,Talk30,"つ… つかれた…
坂道は年寄にはこたえるな…
私は これ以上は無理そうだ…

この祠の裏に大妖精の泉があると
言われているんだが… いつもここで息切れだ…
はぁ… 
天気も悪いし私はちょっと休ませてもらうよ
もし見つけたら
絵を忘れないでくれよ","So...tired... Hills aren't easy for
old fogies like me. Sorry, but I
don't think I can go on... *pant*
The Great Fairy Fountain should be...
along the path that leads past
the shrine. *pant*
That's what I've been told, anyway.
Yeesh, I'm completely out of breath!
That always happens right about here.
*pant* The weather is awful, too,
so I think I'd better rest for a bit.

But hey, if you find it...don't forget to
get a picture!"
37,Talk31,"おっ こんな天気なのに ヤル気十分だな！
キミがそんなに絶景好きだとは思わなかったよ！
じゃあ行こうか！","Wow! You're high-spirited, even in
the rain! I didn't know you loved
beautiful landscapes quite so much.
Well, shall we?"
38,Talk32,"高台の奥にある アソコの辺りが
怪しんだけどな… 
天気が良くなったら また探してみるか","The area beyond that elevated bit of land
is suspicious... Perhaps I'll go take a
look when the weather clears up."
39,Talk34,またキミとここで会うとはな,To think we'd run into each other again...
