#,Title,JPja,USen
1,"""0002""",教えてください！,Teach me!
55,Talk04,"敵に注目することで相手をとらえ
常に敵の方を向いて戦うことができるでのぅ
まあ攻撃の基礎中の基礎だな","When facing an enemy in combat...
always focus in on them.

That's the most basic of the basics
as far as good offense goes."
56,Talk05,"落下中やジャンプ中に攻撃することで
大地に衝撃波を繰り出すことができるんじゃ
高度が高ければ高いほど
相手に与えるダメージもでかいんじゃが…
…高すぎても こっちが痛い目を見るだけじゃ
その辺りを注意して うまく使えば
高台から敵を奇襲する時なんぞに
かなり役に立つじゃろう","You can cause a shock wave on the
ground just by swinging your sword
while you're jumping.
The higher up you are, the more damage
you'll do. However...

If you're TOO high up, you'll be the one
who takes damage.

Once you get the hang of this, it's quite
useful for surprise attacks on groups of
enemies down below you."
57,Talk06,"なんじゃ その眼は！
ふいうちも立派な作戦の内じゃわい！
…敵の背後に忍び寄り…

…気づかれないうちに…

たたっきる！

しゃがんで近づくと より気づかれにくい！
油断しておるだけに ダメージもでかいんじゃ！","What's with that judgmental look?!
Sneakstrikes are a legitimate strategy!

You just sneak up behind your foe...


and before they realize you're there...


HYAH! They're met with the taste
of steel! Or wood, depending on your
weapon of choice.
Got it? They'll be no match if you sneak
up on 'em! Since they aren't expecting
the attack, you'll deal more damage too!"
58,Talk07,"本当は この村の祠にあるという『試練』をうけ
攻撃の極意を学びたいところなんじゃが
我々では中に入る術もわからんからのぅ
こうやって日々己で鍛錬するしかないんじゃ","To tell ya the truth, I'd like to take that
trial thing at the village shrine and learn
the secret art of offense. It's just...
Well, no one knows the technique you
need to enter the shrine. That's why
I train like this every day."
59,Talk08,"しゃがんでゆっくり歩くと普通に歩くよりも
気配を消すことができるんじゃ
魔物達だけじゃなく動物を狩る時なんかも
ワシはしゃがんどるよ","If you move while crouched down instead
of walking normally, you'll be a lot harder
to detect.
That's not just for monsters either.
That's what I do when I'm trying to
sneak up on wild animals too."
60,Talk09,"若い頃は寝ずに鍛錬したもんじゃが
老いには勝てんのう…
剣を学びたければ
また明日の夜に来るんじゃな","When I was younger, I worked out
morning, noon, and night. But lately,
my old age has caught up with me...
If you'd like more sword lessons,
come back again tomorrow night."
61,Talk10,"ゴーゴーニンジンは滋養強壮に効くと評判でのう
料理することで さらに効能が増すんじゃよ
料理を作る時にゴーゴーニンジンを多めに使うと
素早さがあがるゴーゴー料理ができるんじゃ
男子たる者素早く動ける
体力を身につけねばの！","Swift carrots fortify and nourish your
body. Add them to your cooking,
and their effects will increase!
Go on! Throw some swift carrots into
any dish you're cookin' up to make it a
hasty dish. Eat it to up your speed!
You wanna be the man, don't you?
Of course you do! That means you'll
need strength to move fast!"
62,Talk12,"おおっ もうこんな時間になってしもうた！
もう仕事に戻っていいかの？","It's already this late?! I should finish up
for today."
63,Talk13,"カボチャが名産だとほざく
頑固ジジイもおるがの
まったく… カボチャばかり食べとるから
あんなに頑固になるんじゃ！","Now, you might run into a hardheaded
old codger rambling on about Kakariko
being known for pumpkins. HA!
I tell ya what. I'm pretty sure eating all
those pathetic pumpkins is what made
his head so hard in the first place!"
64,Talk18,"まずは己で色々試すのが一番じゃ
他にも何か聞きたいことはあるかのう？","It's best to just try out lots of different
things to see what works for you.
Got any other questions?"
65,Talk24,"なんじゃ ワシは急いどるんじゃ
ばあさんが待っとるからな","Sorry, I'm in a hurry.
My old lady is waitin' for me."
66,Talk26,"攻撃こそ最大の防御なんじゃ…
ヨロイカボチャがなんじゃ…
あんなマズイもん
たたききってやるわ…い…","The best defense is a good offense...
Who do those fortified pumpkins think
they're kidding.
I'll smash those nasty things up good.
Show 'em who's boss around here..."
67,Talk27,"立派なニンジンだ
丹精込めて育てているのだろう","What splendid carrots! It looks like
someone's gone to great lengths
to grow them..."
68,Talk30,"これから鍛錬に出かけるところじゃ
攻撃こそ最大の防御なり！
お前さんも戦いのコツを学びたいなら
ついてくるがよい","So begins our training! Lesson one...
The best defense is a good offense!

Now, come with me if you want to learn
the secret art of combat."
69,Talk31,"本当はこの村の祠にあるという『試練』をうけ
攻撃の極意を学びたいところなんじゃが
我々では中に入る術もわからんからのぅ
こうやって雨にも負けず己で鍛錬しとるんじゃ","To tell ya the truth, I'd like to take that
trial thing at the village shrine and learn
the secret art of offense. It's just...
Well, no one knows the technique you
need to enter the shrine. That's why I
train like this every day, even in the rain."
70,Talk33,"おっ！攻撃に興味を持つとは
さすが かの剣士様に憧れとるだけはあるのぅ
シーカー族は知力にも武力にも長けた民族
秘伝の技もすくなくない…
すべてを伝授するわけにはいかんが
このぐらいなら教えてやっても良いぞ","Wow! Interested in combat too...
Just what I'd expect from such a big fan
of the legendary swordsman.
The Sheikah tribe has long excelled in
knowledge and combat. We have quite
a few secret techniques.
I can't teach you ALL of them,
but I think showing you just
these few should be OK."
71,Talk41,"お前さんか…
今日も良い天気じゃの～
最近 ニンジンの出来がよくてな～

誰かが耕してくれとるんじゃないかと思うぐらい
毎朝土の状態がいいんじゃ","Oh. It's you... Nice weather today, eh?
My carrots are doing mighty fine lately.

The soil looks so nice every morning—
it's almost like someone's been tilling it."
72,Talk42,"攻撃こそ最大の防御なり！！
お前さんも剣技を身につけたいのか？","The best defense is a good offense!
Would you like to master the art
of combat?"
73,Talk43,"お前さんか…
今日は あいにくの天気じゃの～
まぁ どんな天気でも
ワシのニンジンは変わらず良い出来じゃが
最近特に出来がよくてな～

誰かが夜の間に耕してくれとるんじゃないかと
思うぐらい毎朝土の状態がいいんじゃ","Oh. It's you... Nasty weather today.


Welp, no matter what the weather has
in store, these carrots have been
growing as beautifully as ever.
The soil is so nice every morning...
it's almost like someone's been tilling
the soil through the night."
74,TerrorArrow,な！ イーガ団か？！,Huh? The Yiga?!
75,TerrorBomb,何じゃその青いのは！,What's that blue thing?
76,TerrorSword,や… やる気か！,Y-you want some of this?!
