#,Title,JPja,USen
1,Atacked00,フゥ…フゥ…ゴーロ…,"*huff...*
*huff...*
Ugh..."
30,RetMSG_Orud_03,"ワシはボルドン！ゴロンシティの観光大使！
じつはちょっと困ってるゴーロ…
我がゴロン温泉をめざす旅人が減ったのは
憎っくき熱っつき あいつのせいゴーロよ！","Hey there! I'm Boldon, Goron City's
ambassador of tourism! And I actually
have a bit of a problem...
We've had fewer visitors to the
Goron Hot Springs recently, and it's all
thanks to that sweltering, ugly thing!"
31,RetMSG_Orud_03_1,"我がゴロン温泉を目指す旅人が減ったのは
憎っくき熱っつき あいつのせいゴーロよ！","We've had fewer visitors to the
Goron Hot Springs recently, and it's all
thanks to that sweltering, ugly thing!"
32,RetMSG_Orud_04,"ワシはボルドン！ゴロンシティの観光大使！

♪ハァ～ゴロン温泉心も癒す～
ゴロンシティめざし北へゆくのゴーロよ～","Hey there! I'm Boldon, Goron City's
ambassador of tourism!

Hah... Goron Hot Springs just soothe
the soul. Try them out for yourself.
Turn south when you hit Goron City."
33,RetMSG_Orud_04_1,"♪ハァ～ゴロン温泉""心も癒す～
ゴロンシティ目指し北へゆくのゴーロよ～","♪Aaah...♪ Goron Hot Springs soothe
the soul. Try them out for yourself.
Turn south when you hit Goron City."
34,SavedLv1_00,"旅先で魔物にでくわすのは
火が熱いのと同じくらい当然のことゴーロよ","Travelers can count on running into
monsters as reliably as they can count
on fire burning them up."
35,SavedLv1_01,"魔物なんてのは
怖いと思うから怖いだけゴーロよ！","But here's the thing about monsters:
they're only as scary as you think
they are."
36,SavedLv2_00,"魔物なんてのは
まあ怖いのは顔くらいのものゴーロで…","Being afraid of monsters is all in your
head. Mind over matter and all that!"
37,SavedLv2_01,"力を合わせれば
大抵のことは何とかなるゴーロ…","If we put our heads together as well as
our muscles, we can stomp 'em flat!"
38,SavedLv3_00,"魔物って本気になると怖いゴーロね
あんたのおかげで助かったゴーロ！","OK, I'll admit...some monsters can be
pretty scary when they get serious. You
really helped me out of a jam!"
39,SavedLv3_01,"魔物を甘く見ちゃ いけないゴーロね
あんたのおかげで助かったゴーロ！","Guess I should take monsters a bit more
seriously, huh? I would have been a
goner had it not been for you!"
40,Thanks00,これはお礼ゴーロ受け取るゴーロ,This is for you. Take it—it's yours now.
